"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a smartphone and no other t"
"06037187300, CA","06037187300","=""06037187300""","2.05"
"06037402406, CA","06037402406","=""06037402406""","7.53"
"06037301300, CA","06037301300","=""06037301300""","0.00"
"06037111205, CA","06037111205","=""06037111205""","2.41"
"06037401703, CA","06037401703","=""06037401703""","5.44"
"06037186301, CA","06037186301","=""06037186301""","6.86"
"06037531503, CA","06037531503","=""06037531503""","17.77"
"06037241202, CA","06037241202","=""06037241202""","16.92"
"06037540901, CA","06037540901","=""06037540901""","17.82"
"06037910402, CA","06037910402","=""06037910402""","16.39"
"06037139200, CA","06037139200","=""06037139200""","3.72"
"06037551402, CA","06037551402","=""06037551402""","4.22"
"06037404702, CA","06037404702","=""06037404702""","17.50"
"06037503701, CA","06037503701","=""06037503701""","6.74"
"06037620303, CA","06037620303","=""06037620303""","0.64"
"06037432201, CA","06037432201","=""06037432201""","9.93"
"06037570100, CA","06037570100","=""06037570100""","4.77"
"06037408401, CA","06037408401","=""06037408401""","6.71"
"06037482101, CA","06037482101","=""06037482101""","5.32"
"06037540700, CA","06037540700","=""06037540700""","15.80"
"06037267800, CA","06037267800","=""06037267800""","1.63"
"06037113233, CA","06037113233","=""06037113233""","11.05"
"06037101110, CA","06037101110","=""06037101110""","5.21"
"06037271400, CA","06037271400","=""06037271400""","0.00"
"06037121600, CA","06037121600","=""06037121600""","4.91"
"06037404901, CA","06037404901","=""06037404901""","14.35"
"06037408704, CA","06037408704","=""06037408704""","11.04"
"06037106641, CA","06037106641","=""06037106641""","0.88"
"06037480703, CA","06037480703","=""06037480703""","1.66"
"06037463101, CA","06037463101","=""06037463101""","2.53"
"06037503202, CA","06037503202","=""06037503202""","8.58"
"06037544002, CA","06037544002","=""06037544002""","4.83"
"06037128602, CA","06037128602","=""06037128602""","2.15"
"06037603302, CA","06037603302","=""06037603302""","6.81"
"06037570003, CA","06037570003","=""06037570003""","7.35"
"06037480101, CA","06037480101","=""06037480101""","5.75"
"06037432901, CA","06037432901","=""06037432901""","9.32"
"06037702102, CA","06037702102","=""06037702102""","6.01"
"06037407101, CA","06037407101","=""06037407101""","5.91"
"06037108101, CA","06037108101","=""06037108101""","2.96"
"06037603001, CA","06037603001","=""06037603001""","9.83"
"06037407701, CA","06037407701","=""06037407701""","14.06"
"06037131200, CA","06037131200","=""06037131200""","6.19"
"06037407501, CA","06037407501","=""06037407501""","13.07"
"06037535101, CA","06037535101","=""06037535101""","26.30"
"06037480011, CA","06037480011","=""06037480011""","10.08"
"06037603200, CA","06037603200","=""06037603200""","3.01"
"06037603400, CA","06037603400","=""06037603400""","9.50"
"06037462800, CA","06037462800","=""06037462800""","5.14"
"06037236100, CA","06037236100","=""06037236100""","13.06"
"06037408135, CA","06037408135","=""06037408135""","9.45"
"06037104810, CA","06037104810","=""06037104810""","13.15"
"06037119400, CA","06037119400","=""06037119400""","5.95"
"06037433601, CA","06037433601","=""06037433601""","6.29"
"06037124600, CA","06037124600","=""06037124600""","4.35"
"06037550901, CA","06037550901","=""06037550901""","3.76"
"06037405101, CA","06037405101","=""06037405101""","9.74"
"06037131300, CA","06037131300","=""06037131300""","2.47"
"06037408141, CA","06037408141","=""06037408141""","5.67"
"06037267901, CA","06037267901","=""06037267901""","5.77"
"06037543502, CA","06037543502","=""06037543502""","5.70"
"06037106649, CA","06037106649","=""06037106649""","2.73"
"06037293302, CA","06037293302","=""06037293302""","9.78"
"06037106403, CA","06037106403","=""06037106403""","10.27"
"06037232400, CA","06037232400","=""06037232400""","15.59"
"06037131400, CA","06037131400","=""06037131400""","2.43"
"06037404301, CA","06037404301","=""06037404301""","13.49"
"06037214100, CA","06037214100","=""06037214100""","0.55"
"06037503105, CA","06037503105","=""06037503105""","12.03"
"06037237202, CA","06037237202","=""06037237202""","13.20"
"06037131100, CA","06037131100","=""06037131100""","0.58"
"06037434001, CA","06037434001","=""06037434001""","12.98"
"06037267100, CA","06037267100","=""06037267100""","0.52"
"06037310201, CA","06037310201","=""06037310201""","0.38"
"06037104108, CA","06037104108","=""06037104108""","5.07"
"06037207710, CA","06037207710","=""06037207710""","1.29"
"06037574800, CA","06037574800","=""06037574800""","3.34"
"06037301900, CA","06037301900","=""06037301900""","5.27"
"06037554406, CA","06037554406","=""06037554406""","4.07"
"06037482102, CA","06037482102","=""06037482102""","4.49"
"06037551502, CA","06037551502","=""06037551502""","6.61"
"06037181500, CA","06037181500","=""06037181500""","2.73"
"06037104201, CA","06037104201","=""06037104201""","12.43"
"06037407001, CA","06037407001","=""06037407001""","10.88"
"06037216900, CA","06037216900","=""06037216900""","3.97"
"06037541802, CA","06037541802","=""06037541802""","5.48"
"06037480803, CA","06037480803","=""06037480803""","4.20"
"06037219700, CA","06037219700","=""06037219700""","8.42"
"06037503301, CA","06037503301","=""06037503301""","2.89"
"06037503103, CA","06037503103","=""06037503103""","2.21"
"06037600912, CA","06037600912","=""06037600912""","10.30"
"06037555202, CA","06037555202","=""06037555202""","0.00"
"06037432902, CA","06037432902","=""06037432902""","8.71"
"06037553701, CA","06037553701","=""06037553701""","9.90"
"06037189600, CA","06037189600","=""06037189600""","0.00"
"06037402703, CA","06037402703","=""06037402703""","6.32"
"06037554001, CA","06037554001","=""06037554001""","5.75"
"06037535300, CA","06037535300","=""06037535300""","18.07"
"06037480704, CA","06037480704","=""06037480704""","3.86"
"06037402706, CA","06037402706","=""06037402706""","5.46"
"06037701402, CA","06037701402","=""06037701402""","2.47"
"06037407801, CA","06037407801","=""06037407801""","6.73"
"06037119001, CA","06037119001","=""06037119001""","4.23"
"06037131010, CA","06037131010","=""06037131010""","8.60"
"06037431900, CA","06037431900","=""06037431900""","2.74"
"06037120400, CA","06037120400","=""06037120400""","8.90"
"06037134101, CA","06037134101","=""06037134101""","9.72"
"06037572800, CA","06037572800","=""06037572800""","20.80"
"06037572700, CA","06037572700","=""06037572700""","9.15"
"06037240900, CA","06037240900","=""06037240900""","11.53"
"06037201602, CA","06037201602","=""06037201602""","4.95"
"06037501400, CA","06037501400","=""06037501400""","9.47"
"06037134901, CA","06037134901","=""06037134901""","5.98"
"06037432602, CA","06037432602","=""06037432602""","12.92"
"06037293201, CA","06037293201","=""06037293201""","4.63"
"06037310300, CA","06037310300","=""06037310300""","1.81"
"06037111100, CA","06037111100","=""06037111100""","5.63"
"06037127300, CA","06037127300","=""06037127300""","14.62"
"06037530700, CA","06037530700","=""06037530700""","23.58"
"06037125310, CA","06037125310","=""06037125310""","2.48"
"06037119900, CA","06037119900","=""06037119900""","8.37"
"06037408133, CA","06037408133","=""06037408133""","5.59"
"06037310702, CA","06037310702","=""06037310702""","3.90"
"06037700901, CA","06037700901","=""06037700901""","3.35"
"06037296300, CA","06037296300","=""06037296300""","4.14"
"06037920110, CA","06037920110","=""06037920110""","1.02"
"06037134103, CA","06037134103","=""06037134103""","5.05"
"06037502005, CA","06037502005","=""06037502005""","2.86"
"06037113321, CA","06037113321","=""06037113321""","5.23"
"06037920322, CA","06037920322","=""06037920322""","3.71"
"06037553902, CA","06037553902","=""06037553902""","13.84"
"06037554600, CA","06037554600","=""06037554600""","4.48"
"06037480302, CA","06037480302","=""06037480302""","4.12"
"06037462600, CA","06037462600","=""06037462600""","2.49"
"06037570902, CA","06037570902","=""06037570902""","6.57"
"06037920039, CA","06037920039","=""06037920039""","0.00"
"06037481001, CA","06037481001","=""06037481001""","9.63"
"06037432401, CA","06037432401","=""06037432401""","13.49"
"06037139502, CA","06037139502","=""06037139502""","2.39"
"06037135111, CA","06037135111","=""06037135111""","5.03"
"06037293202, CA","06037293202","=""06037293202""","16.78"
"06037462100, CA","06037462100","=""06037462100""","8.65"
"06037534900, CA","06037534900","=""06037534900""","12.20"
"06037405701, CA","06037405701","=""06037405701""","2.78"
"06037431501, CA","06037431501","=""06037431501""","4.62"
"06037117102, CA","06037117102","=""06037117102""","5.36"
"06037134904, CA","06037134904","=""06037134904""","11.25"
"06037404802, CA","06037404802","=""06037404802""","14.64"
"06037572002, CA","06037572002","=""06037572002""","2.47"
"06037302102, CA","06037302102","=""06037302102""","4.36"
"06037277200, CA","06037277200","=""06037277200""","3.87"
"06037573401, CA","06037573401","=""06037573401""","7.13"
"06037570602, CA","06037570602","=""06037570602""","12.81"
"06037296402, CA","06037296402","=""06037296402""","5.91"
"06037122122, CA","06037122122","=""06037122122""","9.08"
"06037620301, CA","06037620301","=""06037620301""","0.61"
"06037226001, CA","06037226001","=""06037226001""","18.54"
"06037189202, CA","06037189202","=""06037189202""","5.46"
"06037195400, CA","06037195400","=""06037195400""","0.00"
"06037310601, CA","06037310601","=""06037310601""","3.05"
"06037543703, CA","06037543703","=""06037543703""","3.86"
"06037407502, CA","06037407502","=""06037407502""","7.68"
"06037113234, CA","06037113234","=""06037113234""","9.48"
"06037275603, CA","06037275603","=""06037275603""","2.53"
"06037125600, CA","06037125600","=""06037125600""","2.19"
"06037115104, CA","06037115104","=""06037115104""","0.68"
"06037238200, CA","06037238200","=""06037238200""","21.18"
"06037134304, CA","06037134304","=""06037134304""","1.62"
"06037106114, CA","06037106114","=""06037106114""","8.47"
"06037532102, CA","06037532102","=""06037532102""","9.67"
"06037123010, CA","06037123010","=""06037123010""","1.51"
"06037461400, CA","06037461400","=""06037461400""","4.61"
"06037532500, CA","06037532500","=""06037532500""","11.25"
"06037910714, CA","06037910714","=""06037910714""","7.55"
"06037402501, CA","06037402501","=""06037402501""","14.20"
"06037301602, CA","06037301602","=""06037301602""","9.08"
"06037201110, CA","06037201110","=""06037201110""","7.24"
"06037604100, CA","06037604100","=""06037604100""","13.63"
"06037620701, CA","06037620701","=""06037620701""","1.06"
"06037242700, CA","06037242700","=""06037242700""","13.19"
"06037702202, CA","06037702202","=""06037702202""","2.47"
"06037214000, CA","06037214000","=""06037214000""","4.77"
"06037530101, CA","06037530101","=""06037530101""","19.95"
"06037204700, CA","06037204700","=""06037204700""","4.10"
"06037535902, CA","06037535902","=""06037535902""","3.55"
"06037920044, CA","06037920044","=""06037920044""","3.37"
"06037273402, CA","06037273402","=""06037273402""","2.81"
"06037408136, CA","06037408136","=""06037408136""","0.80"
"06037461501, CA","06037461501","=""06037461501""","4.74"
"06037543201, CA","06037543201","=""06037543201""","12.44"
"06037133000, CA","06037133000","=""06037133000""","7.08"
"06037113212, CA","06037113212","=""06037113212""","4.24"
"06037109603, CA","06037109603","=""06037109603""","6.70"
"06037920038, CA","06037920038","=""06037920038""","1.30"
"06037406902, CA","06037406902","=""06037406902""","4.52"
"06037481201, CA","06037481201","=""06037481201""","7.56"
"06037228100, CA","06037228100","=""06037228100""","11.12"
"06037310703, CA","06037310703","=""06037310703""","3.72"
"06037107020, CA","06037107020","=""06037107020""","4.48"
"06037531000, CA","06037531000","=""06037531000""","11.68"
"06037651401, CA","06037651401","=""06037651401""","4.26"
"06037620904, CA","06037620904","=""06037620904""","0.00"
"06037271701, CA","06037271701","=""06037271701""","2.73"
"06037237300, CA","06037237300","=""06037237300""","12.21"
"06037134720, CA","06037134720","=""06037134720""","3.38"
"06037201302, CA","06037201302","=""06037201302""","3.13"
"06037311200, CA","06037311200","=""06037311200""","0.00"
"06037542700, CA","06037542700","=""06037542700""","5.13"
"06037542502, CA","06037542502","=""06037542502""","17.19"
"06037407301, CA","06037407301","=""06037407301""","5.41"
"06037294110, CA","06037294110","=""06037294110""","16.88"
"06037650501, CA","06037650501","=""06037650501""","3.45"
"06037555103, CA","06037555103","=""06037555103""","2.33"
"06037482303, CA","06037482303","=""06037482303""","7.02"
"06037206032, CA","06037206032","=""06037206032""","9.22"
"06037238100, CA","06037238100","=""06037238100""","11.14"
"06037601402, CA","06037601402","=""06037601402""","4.43"
"06037296401, CA","06037296401","=""06037296401""","3.00"
"06037276100, CA","06037276100","=""06037276100""","0.00"
"06037220100, CA","06037220100","=""06037220100""","4.95"
"06037434003, CA","06037434003","=""06037434003""","9.69"
"06037406402, CA","06037406402","=""06037406402""","3.91"
"06037124400, CA","06037124400","=""06037124400""","3.85"
"06037237900, CA","06037237900","=""06037237900""","16.48"
"06037239330, CA","06037239330","=""06037239330""","12.15"
"06037920018, CA","06037920018","=""06037920018""","3.88"
"06037128500, CA","06037128500","=""06037128500""","0.95"
"06037270300, CA","06037270300","=""06037270300""","4.62"
"06037124201, CA","06037124201","=""06037124201""","1.40"
"06037542000, CA","06037542000","=""06037542000""","9.55"
"06037128802, CA","06037128802","=""06037128802""","0.94"
"06037119202, CA","06037119202","=""06037119202""","7.39"
"06037600400, CA","06037600400","=""06037600400""","3.37"
"06037535702, CA","06037535702","=""06037535702""","8.55"
"06037132001, CA","06037132001","=""06037132001""","1.89"
"06037208000, CA","06037208000","=""06037208000""","8.89"
"06037220000, CA","06037220000","=""06037220000""","15.99"
"06037237800, CA","06037237800","=""06037237800""","14.16"
"06037199700, CA","06037199700","=""06037199700""","9.73"
"06037603301, CA","06037603301","=""06037603301""","1.06"
"06037134520, CA","06037134520","=""06037134520""","14.53"
"06037183101, CA","06037183101","=""06037183101""","3.35"
"06037600801, CA","06037600801","=""06037600801""","7.14"
"06037554201, CA","06037554201","=""06037554201""","4.52"
"06037550902, CA","06037550902","=""06037550902""","10.14"
"06037185204, CA","06037185204","=""06037185204""","3.00"
"06037216200, CA","06037216200","=""06037216200""","4.77"
"06037231220, CA","06037231220","=""06037231220""","18.46"
"06037186401, CA","06037186401","=""06037186401""","11.19"
"06037199120, CA","06037199120","=""06037199120""","8.52"
"06037433602, CA","06037433602","=""06037433602""","11.36"
"06037575002, CA","06037575002","=""06037575002""","0.91"
"06037143200, CA","06037143200","=""06037143200""","0.63"
"06037405202, CA","06037405202","=""06037405202""","9.74"
"06037405102, CA","06037405102","=""06037405102""","10.26"
"06037406901, CA","06037406901","=""06037406901""","7.04"
"06037552302, CA","06037552302","=""06037552302""","11.26"
"06037115404, CA","06037115404","=""06037115404""","3.14"
"06037119201, CA","06037119201","=""06037119201""","7.48"
"06037123700, CA","06037123700","=""06037123700""","4.51"
"06037199202, CA","06037199202","=""06037199202""","9.97"
"06037700902, CA","06037700902","=""06037700902""","1.56"
"06037104103, CA","06037104103","=""06037104103""","5.54"
"06037121802, CA","06037121802","=""06037121802""","14.67"
"06037231600, CA","06037231600","=""06037231600""","27.75"
"06037187200, CA","06037187200","=""06037187200""","2.57"
"06037535400, CA","06037535400","=""06037535400""","20.75"
"06037408623, CA","06037408623","=""06037408623""","5.67"
"06037480901, CA","06037480901","=""06037480901""","7.70"
"06037541400, CA","06037541400","=""06037541400""","13.97"
"06037127711, CA","06037127711","=""06037127711""","8.25"
"06037294200, CA","06037294200","=""06037294200""","9.07"
"06037402303, CA","06037402303","=""06037402303""","7.57"
"06037406701, CA","06037406701","=""06037406701""","1.27"
"06037311400, CA","06037311400","=""06037311400""","1.13"
"06037502401, CA","06037502401","=""06037502401""","3.21"
"06037920037, CA","06037920037","=""06037920037""","8.61"
"06037535607, CA","06037535607","=""06037535607""","5.41"
"06037575001, CA","06037575001","=""06037575001""","0.47"
"06037600704, CA","06037600704","=""06037600704""","7.98"
"06037481002, CA","06037481002","=""06037481002""","4.28"
"06037540600, CA","06037540600","=""06037540600""","24.25"
"06037301701, CA","06037301701","=""06037301701""","6.75"
"06037670001, CA","06037670001","=""06037670001""","1.50"
"06037407602, CA","06037407602","=""06037407602""","10.14"
"06037603600, CA","06037603600","=""06037603600""","6.67"
"06037123602, CA","06037123602","=""06037123602""","6.22"
"06037463601, CA","06037463601","=""06037463601""","3.27"
"06037183222, CA","06037183222","=""06037183222""","1.12"
"06037463602, CA","06037463602","=""06037463602""","4.50"
"06037404201, CA","06037404201","=""06037404201""","10.94"
"06037552400, CA","06037552400","=""06037552400""","10.02"
"06037621001, CA","06037621001","=""06037621001""","3.45"
"06037188300, CA","06037188300","=""06037188300""","7.48"
"06037320201, CA","06037320201","=""06037320201""","11.39"
"06037271902, CA","06037271902","=""06037271902""","4.92"
"06037407102, CA","06037407102","=""06037407102""","3.33"
"06037503106, CA","06037503106","=""06037503106""","2.88"
"06037217200, CA","06037217200","=""06037217200""","7.46"
"06037231500, CA","06037231500","=""06037231500""","13.86"
"06037310202, CA","06037310202","=""06037310202""","2.01"
"06037408140, CA","06037408140","=""06037408140""","5.66"
"06037433504, CA","06037433504","=""06037433504""","12.00"
"06037503901, CA","06037503901","=""06037503901""","5.32"
"06037542106, CA","06037542106","=""06037542106""","13.00"
"06037551600, CA","06037551600","=""06037551600""","N/A"
"06037601600, CA","06037601600","=""06037601600""","11.73"
"06037139401, CA","06037139401","=""06037139401""","12.95"
"06037211500, CA","06037211500","=""06037211500""","4.52"
"06037271500, CA","06037271500","=""06037271500""","0.82"
"06037204920, CA","06037204920","=""06037204920""","6.84"
"06037302506, CA","06037302506","=""06037302506""","6.98"
"06037555002, CA","06037555002","=""06037555002""","7.52"
"06037123103, CA","06037123103","=""06037123103""","7.64"
"06037571503, CA","06037571503","=""06037571503""","2.68"
"06037241001, CA","06037241001","=""06037241001""","8.17"
"06037271600, CA","06037271600","=""06037271600""","0.57"
"06037207900, CA","06037207900","=""06037207900""","2.71"
"06037199110, CA","06037199110","=""06037199110""","7.33"
"06037296500, CA","06037296500","=""06037296500""","10.41"
"06037554801, CA","06037554801","=""06037554801""","7.57"
"06037218300, CA","06037218300","=""06037218300""","6.39"
"06037530500, CA","06037530500","=""06037530500""","19.41"
"06037540203, CA","06037540203","=""06037540203""","13.57"
"06037402405, CA","06037402405","=""06037402405""","7.59"
"06037217100, CA","06037217100","=""06037217100""","7.23"
"06037269700, CA","06037269700","=""06037269700""","0.49"
"06037481300, CA","06037481300","=""06037481300""","3.44"
"06037534002, CA","06037534002","=""06037534002""","9.33"
"06037183702, CA","06037183702","=""06037183702""","8.06"
"06037310602, CA","06037310602","=""06037310602""","0.66"
"06037124300, CA","06037124300","=""06037124300""","2.61"
"06037231100, CA","06037231100","=""06037231100""","16.62"
"06037405002, CA","06037405002","=""06037405002""","17.60"
"06037481902, CA","06037481902","=""06037481902""","5.18"
"06037501001, CA","06037501001","=""06037501001""","12.09"
"06037201501, CA","06037201501","=""06037201501""","6.94"
"06037408138, CA","06037408138","=""06037408138""","6.79"
"06037502402, CA","06037502402","=""06037502402""","6.57"
"06037575401, CA","06037575401","=""06037575401""","23.66"
"06037481101, CA","06037481101","=""06037481101""","5.04"
"06037408134, CA","06037408134","=""06037408134""","3.52"
"06037531302, CA","06037531302","=""06037531302""","21.95"
"06037601001, CA","06037601001","=""06037601001""","5.88"
"06037234200, CA","06037234200","=""06037234200""","9.51"
"06037123304, CA","06037123304","=""06037123304""","8.52"
"06037181400, CA","06037181400","=""06037181400""","5.71"
"06037212702, CA","06037212702","=""06037212702""","1.10"
"06037294830, CA","06037294830","=""06037294830""","22.54"
"06037192300, CA","06037192300","=""06037192300""","0.65"
"06037461901, CA","06037461901","=""06037461901""","7.54"
"06037195202, CA","06037195202","=""06037195202""","0.00"
"06037603101, CA","06037603101","=""06037603101""","7.63"
"06037408501, CA","06037408501","=""06037408501""","8.93"
"06037550400, CA","06037550400","=""06037550400""","5.66"
"06037482301, CA","06037482301","=""06037482301""","7.39"
"06037201301, CA","06037201301","=""06037201301""","11.81"
"06037621004, CA","06037621004","=""06037621004""","0.00"
"06037206020, CA","06037206020","=""06037206020""","0.00"
"06037620901, CA","06037620901","=""06037620901""","0.00"
"06037207400, CA","06037207400","=""06037207400""","2.67"
"06037234300, CA","06037234300","=""06037234300""","11.29"
"06037620102, CA","06037620102","=""06037620102""","1.24"
"06037542602, CA","06037542602","=""06037542602""","14.57"
"06037555104, CA","06037555104","=""06037555104""","3.64"
"06037402705, CA","06037402705","=""06037402705""","6.43"
"06037122420, CA","06037122420","=""06037122420""","1.99"
"06037541605, CA","06037541605","=""06037541605""","9.85"
"06037433302, CA","06037433302","=""06037433302""","19.86"
"06037535200, CA","06037535200","=""06037535200""","8.87"
"06037481606, CA","06037481606","=""06037481606""","6.83"
"06037127102, CA","06037127102","=""06037127102""","4.68"
"06037670002, CA","06037670002","=""06037670002""","3.42"
"06037534301, CA","06037534301","=""06037534301""","22.98"
"06037570404, CA","06037570404","=""06037570404""","9.45"
"06037192002, CA","06037192002","=""06037192002""","0.64"
"06037530302, CA","06037530302","=""06037530302""","8.38"
"06037553702, CA","06037553702","=""06037553702""","10.64"
"06037533703, CA","06037533703","=""06037533703""","9.64"
"06037235202, CA","06037235202","=""06037235202""","17.31"
"06037650102, CA","06037650102","=""06037650102""","4.64"
"06037702803, CA","06037702803","=""06037702803""","6.22"
"06037186203, CA","06037186203","=""06037186203""","0.90"
"06037228800, CA","06037228800","=""06037228800""","16.23"
"06037115302, CA","06037115302","=""06037115302""","5.87"
"06037554403, CA","06037554403","=""06037554403""","19.44"
"06037293301, CA","06037293301","=""06037293301""","1.13"
"06037482401, CA","06037482401","=""06037482401""","9.76"
"06037269100, CA","06037269100","=""06037269100""","1.17"
"06037554404, CA","06037554404","=""06037554404""","6.01"
"06037535901, CA","06037535901","=""06037535901""","4.21"
"06037553300, CA","06037553300","=""06037553300""","1.21"
"06037461902, CA","06037461902","=""06037461902""","6.38"
"06037276604, CA","06037276604","=""06037276604""","0.00"
"06037294620, CA","06037294620","=""06037294620""","19.11"
"06037296600, CA","06037296600","=""06037296600""","16.84"
"06037294302, CA","06037294302","=""06037294302""","16.15"
"06037651102, CA","06037651102","=""06037651102""","1.82"
"06037602103, CA","06037602103","=""06037602103""","17.18"
"06037532002, CA","06037532002","=""06037532002""","10.26"
"06037541604, CA","06037541604","=""06037541604""","20.44"
"06037405301, CA","06037405301","=""06037405301""","9.81"
"06037108104, CA","06037108104","=""06037108104""","0.00"
"06037301206, CA","06037301206","=""06037301206""","3.44"
"06037224010, CA","06037224010","=""06037224010""","18.66"
"06037408137, CA","06037408137","=""06037408137""","4.05"
"06037294410, CA","06037294410","=""06037294410""","11.14"
"06037480804, CA","06037480804","=""06037480804""","1.70"
"06037121020, CA","06037121020","=""06037121020""","4.98"
"06037600202, CA","06037600202","=""06037600202""","17.31"
"06037311802, CA","06037311802","=""06037311802""","4.82"
"06037481800, CA","06037481800","=""06037481800""","4.45"
"06037294610, CA","06037294610","=""06037294610""","18.19"
"06037602106, CA","06037602106","=""06037602106""","8.90"
"06037222700, CA","06037222700","=""06037222700""","0.00"
"06037301702, CA","06037301702","=""06037301702""","5.33"
"06037291220, CA","06037291220","=""06037291220""","7.81"
"06037431300, CA","06037431300","=""06037431300""","2.35"
"06037600302, CA","06037600302","=""06037600302""","8.11"
"06037132101, CA","06037132101","=""06037132101""","1.77"
"06037267700, CA","06037267700","=""06037267700""","0.96"
"06037240300, CA","06037240300","=""06037240300""","23.66"
"06037242200, CA","06037242200","=""06037242200""","18.18"
"06037572301, CA","06037572301","=""06037572301""","13.08"
"06037124500, CA","06037124500","=""06037124500""","2.05"
"06037240500, CA","06037240500","=""06037240500""","20.09"
"06037541500, CA","06037541500","=""06037541500""","24.54"
"06037533603, CA","06037533603","=""06037533603""","10.38"
"06037404501, CA","06037404501","=""06037404501""","16.84"
"06037407302, CA","06037407302","=""06037407302""","5.73"
"06037480903, CA","06037480903","=""06037480903""","6.68"
"06037542900, CA","06037542900","=""06037542900""","17.64"
"06037271100, CA","06037271100","=""06037271100""","5.78"
"06037501503, CA","06037501503","=""06037501503""","4.99"
"06037408723, CA","06037408723","=""06037408723""","4.40"
"06037123510, CA","06037123510","=""06037123510""","8.73"
"06037574902, CA","06037574902","=""06037574902""","1.51"
"06037219902, CA","06037219902","=""06037219902""","23.30"
"06037552001, CA","06037552001","=""06037552001""","8.45"
"06037600902, CA","06037600902","=""06037600902""","9.73"
"06037432801, CA","06037432801","=""06037432801""","11.53"
"06037534102, CA","06037534102","=""06037534102""","17.43"
"06037554700, CA","06037554700","=""06037554700""","5.53"
"06037106648, CA","06037106648","=""06037106648""","10.42"
"06037535802, CA","06037535802","=""06037535802""","7.89"
"06037232600, CA","06037232600","=""06037232600""","18.70"
"06037117201, CA","06037117201","=""06037117201""","10.98"
"06037433503, CA","06037433503","=""06037433503""","13.00"
"06037603500, CA","06037603500","=""06037603500""","5.66"
"06037531301, CA","06037531301","=""06037531301""","24.27"
"06037201120, CA","06037201120","=""06037201120""","5.36"
"06037123420, CA","06037123420","=""06037123420""","6.48"
"06037187101, CA","06037187101","=""06037187101""","7.98"
"06037433304, CA","06037433304","=""06037433304""","13.84"
"06037555211, CA","06037555211","=""06037555211""","16.75"
"06037275500, CA","06037275500","=""06037275500""","9.70"
"06037551201, CA","06037551201","=""06037551201""","14.53"
"06037273502, CA","06037273502","=""06037273502""","0.66"
"06037572100, CA","06037572100","=""06037572100""","0.00"
"06037408139, CA","06037408139","=""06037408139""","10.18"
"06037123104, CA","06037123104","=""06037123104""","3.48"
"06037535603, CA","06037535603","=""06037535603""","12.27"
"06037534001, CA","06037534001","=""06037534001""","14.68"
"06037117101, CA","06037117101","=""06037117101""","6.21"
"06037226700, CA","06037226700","=""06037226700""","19.91"
"06037573300, CA","06037573300","=""06037573300""","13.80"
"06037533803, CA","06037533803","=""06037533803""","15.44"
"06037212800, CA","06037212800","=""06037212800""","2.31"
"06037407601, CA","06037407601","=""06037407601""","14.96"
"06037141102, CA","06037141102","=""06037141102""","1.99"
"06037197200, CA","06037197200","=""06037197200""","9.99"
"06037601700, CA","06037601700","=""06037601700""","8.60"
"06037550000, CA","06037550000","=""06037550000""","5.37"
"06037267902, CA","06037267902","=""06037267902""","1.62"
"06037216700, CA","06037216700","=""06037216700""","0.43"
"06037188201, CA","06037188201","=""06037188201""","1.99"
"06037570601, CA","06037570601","=""06037570601""","13.30"
"06037301205, CA","06037301205","=""06037301205""","1.61"
"06037570002, CA","06037570002","=""06037570002""","3.35"
"06037501802, CA","06037501802","=""06037501802""","3.32"
"06037191901, CA","06037191901","=""06037191901""","0.00"
"06037531901, CA","06037531901","=""06037531901""","13.84"
"06037542800, CA","06037542800","=""06037542800""","11.57"
"06037482201, CA","06037482201","=""06037482201""","2.92"
"06037217002, CA","06037217002","=""06037217002""","0.00"
"06037532700, CA","06037532700","=""06037532700""","16.64"
"06037535701, CA","06037535701","=""06037535701""","11.27"
"06037204810, CA","06037204810","=""06037204810""","12.77"
"06037530801, CA","06037530801","=""06037530801""","21.08"
"06037572900, CA","06037572900","=""06037572900""","15.71"
"06037265520, CA","06037265520","=""06037265520""","1.57"
"06037232500, CA","06037232500","=""06037232500""","12.44"
"06037532900, CA","06037532900","=""06037532900""","13.61"
"06037481605, CA","06037481605","=""06037481605""","8.74"
"06037270200, CA","06037270200","=""06037270200""","9.83"
"06037534203, CA","06037534203","=""06037534203""","10.66"
"06037554405, CA","06037554405","=""06037554405""","7.37"
"06037137103, CA","06037137103","=""06037137103""","5.05"
"06037533901, CA","06037533901","=""06037533901""","14.25"
"06037141101, CA","06037141101","=""06037141101""","3.42"
"06037650004, CA","06037650004","=""06037650004""","13.02"
"06037123205, CA","06037123205","=""06037123205""","4.94"
"06037188202, CA","06037188202","=""06037188202""","2.48"
"06037533902, CA","06037533902","=""06037533902""","17.85"
"06037134002, CA","06037134002","=""06037134002""","12.08"
"06037600100, CA","06037600100","=""06037600100""","20.23"
"06037500500, CA","06037500500","=""06037500500""","6.26"
"06037540202, CA","06037540202","=""06037540202""","17.86"
"06037214501, CA","06037214501","=""06037214501""","2.92"
"06037234501, CA","06037234501","=""06037234501""","3.66"
"06037275400, CA","06037275400","=""06037275400""","2.22"
"06037406411, CA","06037406411","=""06037406411""","3.70"
"06037502302, CA","06037502302","=""06037502302""","13.29"
"06037600502, CA","06037600502","=""06037600502""","6.46"
"06037572302, CA","06037572302","=""06037572302""","5.63"
"06037620522, CA","06037620522","=""06037620522""","3.57"
