"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a smartphone and no other t"
"06037189701, CA","06037189701","=""06037189701""","7.23"
"06037920332, CA","06037920332","=""06037920332""","4.64"
"06037401311, CA","06037401311","=""06037401311""","6.69"
"06037460600, CA","06037460600","=""06037460600""","0.00"
"06037297500, CA","06037297500","=""06037297500""","1.82"
"06037910302, CA","06037910302","=""06037910302""","2.36"
"06037402404, CA","06037402404","=""06037402404""","N/A"
"06037113231, CA","06037113231","=""06037113231""","1.59"
"06037181000, CA","06037181000","=""06037181000""","1.42"
"06037113303, CA","06037113303","=""06037113303""","3.13"
"06037430721, CA","06037430721","=""06037430721""","5.60"
"06037577504, CA","06037577504","=""06037577504""","1.56"
"06037900508, CA","06037900508","=""06037900508""","3.43"
"06037980005, CA","06037980005","=""06037980005""","N/A"
"06037236000, CA","06037236000","=""06037236000""","6.03"
"06037900507, CA","06037900507","=""06037900507""","3.93"
"06037910301, CA","06037910301","=""06037910301""","2.90"
"06037292000, CA","06037292000","=""06037292000""","7.45"
"06037403320, CA","06037403320","=""06037403320""","0.76"
"06037115101, CA","06037115101","=""06037115101""","3.08"
"06037141600, CA","06037141600","=""06037141600""","0.00"
"06037106111, CA","06037106111","=""06037106111""","6.16"
"06037137504, CA","06037137504","=""06037137504""","0.00"
"06037502902, CA","06037502902","=""06037502902""","6.56"
"06037403317, CA","06037403317","=""06037403317""","0.70"
"06037980010, CA","06037980010","=""06037980010""","21.43"
"06037554512, CA","06037554512","=""06037554512""","0.45"
"06037502802, CA","06037502802","=""06037502802""","7.96"
"06037502500, CA","06037502500","=""06037502500""","11.37"
"06037920042, CA","06037920042","=""06037920042""","0.00"
"06037599000, CA","06037599000","=""06037599000""","12.71"
"06037401500, CA","06037401500","=""06037401500""","3.32"
"06037702901, CA","06037702901","=""06037702901""","0.18"
"06037403403, CA","06037403403","=""06037403403""","0.00"
"06037920338, CA","06037920338","=""06037920338""","0.00"
"06037430600, CA","06037430600","=""06037430600""","1.33"
"06037134424, CA","06037134424","=""06037134424""","0.00"
"06037400206, CA","06037400206","=""06037400206""","1.48"
"06037262601, CA","06037262601","=""06037262601""","0.67"
"06037113102, CA","06037113102","=""06037113102""","0.00"
"06037573601, CA","06037573601","=""06037573601""","2.86"
"06037408005, CA","06037408005","=""06037408005""","1.20"
"06037139801, CA","06037139801","=""06037139801""","0.54"
"06037910711, CA","06037910711","=""06037910711""","6.37"
"06037403304, CA","06037403304","=""06037403304""","0.73"
"06037920115, CA","06037920115","=""06037920115""","0.66"
"06037430400, CA","06037430400","=""06037430400""","3.48"
"06037800324, CA","06037800324","=""06037800324""","2.21"
"06037530003, CA","06037530003","=""06037530003""","1.87"
"06037700700, CA","06037700700","=""06037700700""","0.97"
"06037650901, CA","06037650901","=""06037650901""","8.33"
"06037194102, CA","06037194102","=""06037194102""","0.00"
"06037464200, CA","06037464200","=""06037464200""","3.01"
"06037403405, CA","06037403405","=""06037403405""","0.00"
"06037650401, CA","06037650401","=""06037650401""","0.61"
"06037482402, CA","06037482402","=""06037482402""","8.84"
"06037920033, CA","06037920033","=""06037920033""","0.00"
"06037541002, CA","06037541002","=""06037541002""","1.93"
"06037262802, CA","06037262802","=""06037262802""","0.68"
"06037139701, CA","06037139701","=""06037139701""","2.21"
"06037143700, CA","06037143700","=""06037143700""","0.55"
"06037980008, CA","06037980008","=""06037980008""","0.00"
"06037574400, CA","06037574400","=""06037574400""","1.20"
"06037404402, CA","06037404402","=""06037404402""","18.24"
"06037403318, CA","06037403318","=""06037403318""","1.30"
"06037408302, CA","06037408302","=""06037408302""","10.56"
"06037980006, CA","06037980006","=""06037980006""","N/A"
