"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a cellular data plan and no"
"06037401303, CA","06037401303","=""06037401303""","2.14"
"06037910705, CA","06037910705","=""06037910705""","15.16"
"06037106510, CA","06037106510","=""06037106510""","9.97"
"06037460100, CA","06037460100","=""06037460100""","1.18"
"06037700600, CA","06037700600","=""06037700600""","4.63"
"06037800327, CA","06037800327","=""06037800327""","6.67"
"06037402200, CA","06037402200","=""06037402200""","15.07"
"06037910807, CA","06037910807","=""06037910807""","2.12"
"06037651101, CA","06037651101","=""06037651101""","3.41"
"06037460401, CA","06037460401","=""06037460401""","8.20"
"06037980015, CA","06037980015","=""06037980015""","15.14"
"06037400207, CA","06037400207","=""06037400207""","4.77"
"06037900705, CA","06037900705","=""06037900705""","5.66"
"06037900605, CA","06037900605","=""06037900605""","11.42"
"06037402402, CA","06037402402","=""06037402402""","13.68"
"06037143901, CA","06037143901","=""06037143901""","1.99"
"06037901101, CA","06037901101","=""06037901101""","15.39"
"06037670324, CA","06037670324","=""06037670324""","3.67"
"06037980013, CA","06037980013","=""06037980013""","N/A"
"06037901007, CA","06037901007","=""06037901007""","6.28"
"06037503902, CA","06037503902","=""06037503902""","11.76"
"06037900704, CA","06037900704","=""06037900704""","16.73"
"06037980023, CA","06037980023","=""06037980023""","N/A"
"06037980030, CA","06037980030","=""06037980030""","N/A"
"06037901102, CA","06037901102","=""06037901102""","11.43"
"06037900602, CA","06037900602","=""06037900602""","7.07"
"06037430200, CA","06037430200","=""06037430200""","0.76"
"06037920119, CA","06037920119","=""06037920119""","5.40"
"06037406300, CA","06037406300","=""06037406300""","3.11"
"06037576602, CA","06037576602","=""06037576602""","9.09"
"06037460301, CA","06037460301","=""06037460301""","4.73"
"06037670328, CA","06037670328","=""06037670328""","6.34"
"06037554521, CA","06037554521","=""06037554521""","5.68"
"06037403600, CA","06037403600","=""06037403600""","4.35"
"06037403500, CA","06037403500","=""06037403500""","5.23"
"06037543321, CA","06037543321","=""06037543321""","8.30"
"06037670201, CA","06037670201","=""06037670201""","3.75"
"06037400604, CA","06037400604","=""06037400604""","9.97"
"06037800332, CA","06037800332","=""06037800332""","7.24"
"06037113237, CA","06037113237","=""06037113237""","10.01"
"06037703001, CA","06037703001","=""06037703001""","2.47"
"06037139703, CA","06037139703","=""06037139703""","8.19"
"06037206031, CA","06037206031","=""06037206031""","3.93"
"06037430501, CA","06037430501","=""06037430501""","3.24"
"06037403407, CA","06037403407","=""06037403407""","9.26"
"06037408503, CA","06037408503","=""06037408503""","5.32"
"06037670416, CA","06037670416","=""06037670416""","6.14"
"06037300100, CA","06037300100","=""06037300100""","2.62"
"06037670326, CA","06037670326","=""06037670326""","0.75"
"06037135203, CA","06037135203","=""06037135203""","4.60"
"06037104124, CA","06037104124","=""06037104124""","9.42"
"06037910207, CA","06037910207","=""06037910207""","6.02"
"06037138000, CA","06037138000","=""06037138000""","1.89"
"06037543306, CA","06037543306","=""06037543306""","7.58"
"06037403303, CA","06037403303","=""06037403303""","13.59"
"06037300902, CA","06037300902","=""06037300902""","7.29"
"06037400402, CA","06037400402","=""06037400402""","4.13"
"06037106643, CA","06037106643","=""06037106643""","3.84"
"06037189701, CA","06037189701","=""06037189701""","2.81"
"06037920332, CA","06037920332","=""06037920332""","6.87"
"06037401311, CA","06037401311","=""06037401311""","5.89"
"06037460600, CA","06037460600","=""06037460600""","2.68"
"06037297500, CA","06037297500","=""06037297500""","7.84"
"06037910302, CA","06037910302","=""06037910302""","7.73"
"06037402404, CA","06037402404","=""06037402404""","N/A"
"06037113231, CA","06037113231","=""06037113231""","7.23"
"06037181000, CA","06037181000","=""06037181000""","2.84"
"06037113303, CA","06037113303","=""06037113303""","7.11"
"06037430721, CA","06037430721","=""06037430721""","6.81"
"06037577504, CA","06037577504","=""06037577504""","10.78"
"06037900508, CA","06037900508","=""06037900508""","17.35"
"06037980005, CA","06037980005","=""06037980005""","N/A"
"06037236000, CA","06037236000","=""06037236000""","5.53"
"06037900507, CA","06037900507","=""06037900507""","14.25"
"06037910301, CA","06037910301","=""06037910301""","6.79"
"06037292000, CA","06037292000","=""06037292000""","9.49"
"06037403320, CA","06037403320","=""06037403320""","3.75"
"06037115101, CA","06037115101","=""06037115101""","5.86"
"06037141600, CA","06037141600","=""06037141600""","1.80"
"06037106111, CA","06037106111","=""06037106111""","11.17"
"06037137504, CA","06037137504","=""06037137504""","2.86"
"06037502902, CA","06037502902","=""06037502902""","6.05"
"06037403317, CA","06037403317","=""06037403317""","3.64"
"06037980010, CA","06037980010","=""06037980010""","10.71"
"06037554512, CA","06037554512","=""06037554512""","4.19"
"06037502802, CA","06037502802","=""06037502802""","7.10"
"06037502500, CA","06037502500","=""06037502500""","14.77"
"06037920042, CA","06037920042","=""06037920042""","7.45"
"06037599000, CA","06037599000","=""06037599000""","9.25"
"06037401500, CA","06037401500","=""06037401500""","11.80"
"06037702901, CA","06037702901","=""06037702901""","4.30"
"06037403403, CA","06037403403","=""06037403403""","1.29"
"06037920338, CA","06037920338","=""06037920338""","9.88"
"06037430600, CA","06037430600","=""06037430600""","3.35"
"06037134424, CA","06037134424","=""06037134424""","1.65"
"06037400206, CA","06037400206","=""06037400206""","4.56"
"06037262601, CA","06037262601","=""06037262601""","3.78"
"06037113102, CA","06037113102","=""06037113102""","4.89"
"06037573601, CA","06037573601","=""06037573601""","6.91"
"06037408005, CA","06037408005","=""06037408005""","1.89"
"06037139801, CA","06037139801","=""06037139801""","2.71"
"06037910711, CA","06037910711","=""06037910711""","9.69"
"06037403304, CA","06037403304","=""06037403304""","4.73"
"06037920115, CA","06037920115","=""06037920115""","4.15"
