"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a cellular data plan and no"
"06037187300, CA","06037187300","=""06037187300""","3.56"
"06037402406, CA","06037402406","=""06037402406""","9.56"
"06037301300, CA","06037301300","=""06037301300""","5.86"
"06037111205, CA","06037111205","=""06037111205""","7.54"
"06037401703, CA","06037401703","=""06037401703""","9.07"
"06037186301, CA","06037186301","=""06037186301""","18.79"
"06037531503, CA","06037531503","=""06037531503""","14.25"
"06037241202, CA","06037241202","=""06037241202""","18.67"
"06037540901, CA","06037540901","=""06037540901""","14.99"
"06037910402, CA","06037910402","=""06037910402""","11.42"
"06037139200, CA","06037139200","=""06037139200""","5.91"
"06037551402, CA","06037551402","=""06037551402""","8.52"
"06037404702, CA","06037404702","=""06037404702""","13.14"
"06037503701, CA","06037503701","=""06037503701""","8.20"
"06037620303, CA","06037620303","=""06037620303""","1.80"
"06037432201, CA","06037432201","=""06037432201""","9.28"
"06037570100, CA","06037570100","=""06037570100""","4.38"
"06037408401, CA","06037408401","=""06037408401""","12.77"
"06037482101, CA","06037482101","=""06037482101""","7.41"
"06037540700, CA","06037540700","=""06037540700""","12.35"
"06037267800, CA","06037267800","=""06037267800""","3.78"
"06037113233, CA","06037113233","=""06037113233""","14.60"
"06037101110, CA","06037101110","=""06037101110""","6.16"
"06037271400, CA","06037271400","=""06037271400""","5.42"
"06037121600, CA","06037121600","=""06037121600""","16.47"
"06037404901, CA","06037404901","=""06037404901""","20.33"
"06037408704, CA","06037408704","=""06037408704""","9.40"
"06037106641, CA","06037106641","=""06037106641""","1.51"
"06037480703, CA","06037480703","=""06037480703""","8.69"
"06037463101, CA","06037463101","=""06037463101""","9.64"
"06037503202, CA","06037503202","=""06037503202""","13.15"
"06037544002, CA","06037544002","=""06037544002""","9.41"
"06037128602, CA","06037128602","=""06037128602""","3.51"
"06037603302, CA","06037603302","=""06037603302""","8.34"
"06037570003, CA","06037570003","=""06037570003""","8.25"
"06037480101, CA","06037480101","=""06037480101""","2.30"
"06037432901, CA","06037432901","=""06037432901""","12.17"
"06037702102, CA","06037702102","=""06037702102""","14.36"
"06037407101, CA","06037407101","=""06037407101""","9.25"
"06037108101, CA","06037108101","=""06037108101""","10.94"
"06037603001, CA","06037603001","=""06037603001""","8.14"
"06037407701, CA","06037407701","=""06037407701""","10.18"
"06037131200, CA","06037131200","=""06037131200""","12.71"
"06037407501, CA","06037407501","=""06037407501""","11.41"
"06037535101, CA","06037535101","=""06037535101""","20.89"
"06037480011, CA","06037480011","=""06037480011""","4.43"
"06037603200, CA","06037603200","=""06037603200""","10.66"
"06037603400, CA","06037603400","=""06037603400""","6.90"
"06037462800, CA","06037462800","=""06037462800""","6.64"
"06037236100, CA","06037236100","=""06037236100""","13.50"
"06037408135, CA","06037408135","=""06037408135""","5.93"
"06037104810, CA","06037104810","=""06037104810""","10.14"
"06037119400, CA","06037119400","=""06037119400""","10.43"
"06037433601, CA","06037433601","=""06037433601""","4.04"
"06037124600, CA","06037124600","=""06037124600""","6.03"
"06037550901, CA","06037550901","=""06037550901""","13.04"
"06037405101, CA","06037405101","=""06037405101""","7.33"
"06037131300, CA","06037131300","=""06037131300""","4.19"
"06037408141, CA","06037408141","=""06037408141""","9.08"
"06037267901, CA","06037267901","=""06037267901""","6.97"
"06037543502, CA","06037543502","=""06037543502""","13.25"
"06037106649, CA","06037106649","=""06037106649""","3.01"
"06037293302, CA","06037293302","=""06037293302""","10.02"
"06037106403, CA","06037106403","=""06037106403""","11.59"
"06037232400, CA","06037232400","=""06037232400""","17.50"
"06037131400, CA","06037131400","=""06037131400""","8.79"
"06037404301, CA","06037404301","=""06037404301""","9.81"
"06037214100, CA","06037214100","=""06037214100""","6.58"
"06037503105, CA","06037503105","=""06037503105""","7.48"
"06037237202, CA","06037237202","=""06037237202""","17.43"
"06037131100, CA","06037131100","=""06037131100""","5.58"
"06037434001, CA","06037434001","=""06037434001""","14.71"
"06037267100, CA","06037267100","=""06037267100""","2.86"
"06037310201, CA","06037310201","=""06037310201""","2.69"
"06037104108, CA","06037104108","=""06037104108""","9.25"
"06037207710, CA","06037207710","=""06037207710""","2.42"
"06037574800, CA","06037574800","=""06037574800""","5.82"
"06037301900, CA","06037301900","=""06037301900""","4.50"
"06037554406, CA","06037554406","=""06037554406""","2.35"
"06037482102, CA","06037482102","=""06037482102""","7.99"
"06037551502, CA","06037551502","=""06037551502""","8.41"
"06037181500, CA","06037181500","=""06037181500""","8.68"
"06037104201, CA","06037104201","=""06037104201""","12.11"
"06037407001, CA","06037407001","=""06037407001""","4.53"
"06037216900, CA","06037216900","=""06037216900""","5.10"
"06037541802, CA","06037541802","=""06037541802""","8.35"
"06037480803, CA","06037480803","=""06037480803""","6.85"
"06037219700, CA","06037219700","=""06037219700""","5.52"
"06037503301, CA","06037503301","=""06037503301""","7.37"
"06037503103, CA","06037503103","=""06037503103""","2.30"
"06037600912, CA","06037600912","=""06037600912""","13.13"
"06037555202, CA","06037555202","=""06037555202""","6.46"
"06037432902, CA","06037432902","=""06037432902""","3.95"
"06037553701, CA","06037553701","=""06037553701""","13.68"
"06037189600, CA","06037189600","=""06037189600""","6.70"
"06037402703, CA","06037402703","=""06037402703""","10.38"
"06037554001, CA","06037554001","=""06037554001""","13.21"
"06037535300, CA","06037535300","=""06037535300""","26.96"
"06037480704, CA","06037480704","=""06037480704""","8.06"
"06037402706, CA","06037402706","=""06037402706""","8.66"
"06037701402, CA","06037701402","=""06037701402""","6.10"
"06037407801, CA","06037407801","=""06037407801""","7.93"
"06037119001, CA","06037119001","=""06037119001""","6.84"
"06037131010, CA","06037131010","=""06037131010""","13.71"
"06037431900, CA","06037431900","=""06037431900""","7.75"
"06037120400, CA","06037120400","=""06037120400""","9.24"
"06037134101, CA","06037134101","=""06037134101""","10.62"
"06037572800, CA","06037572800","=""06037572800""","31.86"
"06037572700, CA","06037572700","=""06037572700""","12.67"
"06037240900, CA","06037240900","=""06037240900""","15.17"
"06037201602, CA","06037201602","=""06037201602""","12.44"
"06037501400, CA","06037501400","=""06037501400""","4.85"
"06037134901, CA","06037134901","=""06037134901""","17.57"
"06037432602, CA","06037432602","=""06037432602""","19.24"
"06037293201, CA","06037293201","=""06037293201""","11.09"
"06037310300, CA","06037310300","=""06037310300""","2.19"
"06037111100, CA","06037111100","=""06037111100""","9.35"
"06037127300, CA","06037127300","=""06037127300""","20.58"
"06037530700, CA","06037530700","=""06037530700""","22.85"
"06037125310, CA","06037125310","=""06037125310""","8.26"
"06037119900, CA","06037119900","=""06037119900""","9.58"
"06037408133, CA","06037408133","=""06037408133""","14.87"
"06037310702, CA","06037310702","=""06037310702""","2.78"
"06037700901, CA","06037700901","=""06037700901""","10.75"
"06037296300, CA","06037296300","=""06037296300""","6.13"
"06037920110, CA","06037920110","=""06037920110""","6.12"
"06037134103, CA","06037134103","=""06037134103""","11.44"
"06037502005, CA","06037502005","=""06037502005""","7.35"
"06037113321, CA","06037113321","=""06037113321""","13.84"
"06037920322, CA","06037920322","=""06037920322""","4.22"
"06037553902, CA","06037553902","=""06037553902""","11.18"
"06037554600, CA","06037554600","=""06037554600""","10.55"
"06037480302, CA","06037480302","=""06037480302""","12.09"
"06037462600, CA","06037462600","=""06037462600""","2.49"
"06037570902, CA","06037570902","=""06037570902""","7.40"
"06037920039, CA","06037920039","=""06037920039""","4.55"
"06037481001, CA","06037481001","=""06037481001""","9.95"
"06037432401, CA","06037432401","=""06037432401""","10.62"
"06037139502, CA","06037139502","=""06037139502""","6.42"
"06037135111, CA","06037135111","=""06037135111""","8.47"
"06037293202, CA","06037293202","=""06037293202""","16.27"
"06037462100, CA","06037462100","=""06037462100""","10.20"
"06037534900, CA","06037534900","=""06037534900""","23.58"
"06037405701, CA","06037405701","=""06037405701""","10.58"
"06037431501, CA","06037431501","=""06037431501""","5.94"
"06037117102, CA","06037117102","=""06037117102""","7.61"
"06037134904, CA","06037134904","=""06037134904""","14.76"
"06037404802, CA","06037404802","=""06037404802""","26.06"
"06037572002, CA","06037572002","=""06037572002""","12.20"
"06037302102, CA","06037302102","=""06037302102""","8.85"
"06037277200, CA","06037277200","=""06037277200""","10.80"
"06037573401, CA","06037573401","=""06037573401""","8.53"
"06037570602, CA","06037570602","=""06037570602""","11.56"
"06037296402, CA","06037296402","=""06037296402""","4.66"
"06037122122, CA","06037122122","=""06037122122""","12.68"
"06037620301, CA","06037620301","=""06037620301""","1.59"
"06037226001, CA","06037226001","=""06037226001""","26.16"
"06037189202, CA","06037189202","=""06037189202""","7.37"
"06037195400, CA","06037195400","=""06037195400""","16.11"
"06037310601, CA","06037310601","=""06037310601""","6.14"
"06037543703, CA","06037543703","=""06037543703""","13.56"
"06037407502, CA","06037407502","=""06037407502""","7.80"
"06037113234, CA","06037113234","=""06037113234""","13.93"
"06037275603, CA","06037275603","=""06037275603""","7.15"
"06037125600, CA","06037125600","=""06037125600""","6.41"
"06037115104, CA","06037115104","=""06037115104""","10.44"
"06037238200, CA","06037238200","=""06037238200""","23.16"
"06037134304, CA","06037134304","=""06037134304""","7.34"
"06037106114, CA","06037106114","=""06037106114""","7.84"
"06037532102, CA","06037532102","=""06037532102""","5.33"
"06037123010, CA","06037123010","=""06037123010""","6.62"
"06037461400, CA","06037461400","=""06037461400""","11.33"
"06037532500, CA","06037532500","=""06037532500""","18.39"
"06037910714, CA","06037910714","=""06037910714""","7.55"
"06037402501, CA","06037402501","=""06037402501""","34.27"
"06037301602, CA","06037301602","=""06037301602""","10.57"
"06037201110, CA","06037201110","=""06037201110""","4.55"
"06037604100, CA","06037604100","=""06037604100""","11.69"
"06037620701, CA","06037620701","=""06037620701""","3.30"
"06037242700, CA","06037242700","=""06037242700""","18.11"
"06037702202, CA","06037702202","=""06037702202""","1.63"
"06037214000, CA","06037214000","=""06037214000""","7.70"
"06037530101, CA","06037530101","=""06037530101""","10.33"
"06037204700, CA","06037204700","=""06037204700""","12.55"
"06037535902, CA","06037535902","=""06037535902""","11.28"
"06037920044, CA","06037920044","=""06037920044""","1.44"
"06037273402, CA","06037273402","=""06037273402""","7.32"
"06037408136, CA","06037408136","=""06037408136""","1.59"
"06037461501, CA","06037461501","=""06037461501""","5.28"
"06037543201, CA","06037543201","=""06037543201""","12.78"
"06037133000, CA","06037133000","=""06037133000""","9.21"
"06037113212, CA","06037113212","=""06037113212""","6.73"
"06037109603, CA","06037109603","=""06037109603""","7.46"
"06037920038, CA","06037920038","=""06037920038""","5.05"
"06037406902, CA","06037406902","=""06037406902""","6.15"
"06037481201, CA","06037481201","=""06037481201""","6.98"
"06037228100, CA","06037228100","=""06037228100""","13.88"
"06037310703, CA","06037310703","=""06037310703""","7.10"
"06037107020, CA","06037107020","=""06037107020""","7.65"
"06037531000, CA","06037531000","=""06037531000""","19.39"
"06037651401, CA","06037651401","=""06037651401""","13.04"
"06037620904, CA","06037620904","=""06037620904""","6.48"
"06037271701, CA","06037271701","=""06037271701""","5.94"
"06037237300, CA","06037237300","=""06037237300""","13.41"
"06037134720, CA","06037134720","=""06037134720""","11.53"
"06037201302, CA","06037201302","=""06037201302""","9.28"
"06037311200, CA","06037311200","=""06037311200""","2.08"
"06037542700, CA","06037542700","=""06037542700""","17.55"
"06037542502, CA","06037542502","=""06037542502""","13.58"
"06037407301, CA","06037407301","=""06037407301""","1.68"
"06037294110, CA","06037294110","=""06037294110""","17.06"
"06037650501, CA","06037650501","=""06037650501""","1.53"
"06037555103, CA","06037555103","=""06037555103""","10.29"
"06037482303, CA","06037482303","=""06037482303""","12.24"
"06037206032, CA","06037206032","=""06037206032""","9.56"
"06037238100, CA","06037238100","=""06037238100""","16.79"
"06037601402, CA","06037601402","=""06037601402""","14.06"
"06037296401, CA","06037296401","=""06037296401""","4.26"
"06037276100, CA","06037276100","=""06037276100""","7.90"
"06037220100, CA","06037220100","=""06037220100""","5.97"
"06037434003, CA","06037434003","=""06037434003""","11.05"
"06037406402, CA","06037406402","=""06037406402""","6.04"
"06037124400, CA","06037124400","=""06037124400""","5.20"
"06037237900, CA","06037237900","=""06037237900""","11.72"
"06037239330, CA","06037239330","=""06037239330""","19.62"
"06037920018, CA","06037920018","=""06037920018""","3.59"
"06037128500, CA","06037128500","=""06037128500""","1.26"
"06037270300, CA","06037270300","=""06037270300""","5.55"
"06037124201, CA","06037124201","=""06037124201""","6.57"
"06037542000, CA","06037542000","=""06037542000""","18.67"
"06037128802, CA","06037128802","=""06037128802""","2.57"
"06037119202, CA","06037119202","=""06037119202""","7.10"
"06037600400, CA","06037600400","=""06037600400""","12.65"
"06037535702, CA","06037535702","=""06037535702""","15.50"
"06037132001, CA","06037132001","=""06037132001""","10.41"
"06037208000, CA","06037208000","=""06037208000""","14.92"
"06037220000, CA","06037220000","=""06037220000""","7.37"
"06037237800, CA","06037237800","=""06037237800""","18.53"
"06037199700, CA","06037199700","=""06037199700""","13.62"
"06037603301, CA","06037603301","=""06037603301""","10.51"
"06037134520, CA","06037134520","=""06037134520""","16.55"
"06037183101, CA","06037183101","=""06037183101""","14.15"
"06037600801, CA","06037600801","=""06037600801""","9.82"
"06037554201, CA","06037554201","=""06037554201""","7.85"
"06037550902, CA","06037550902","=""06037550902""","12.58"
"06037185204, CA","06037185204","=""06037185204""","6.70"
"06037216200, CA","06037216200","=""06037216200""","5.91"
"06037231220, CA","06037231220","=""06037231220""","20.17"
"06037186401, CA","06037186401","=""06037186401""","22.58"
"06037199120, CA","06037199120","=""06037199120""","12.65"
"06037433602, CA","06037433602","=""06037433602""","4.62"
"06037575002, CA","06037575002","=""06037575002""","6.31"
"06037143200, CA","06037143200","=""06037143200""","8.12"
"06037405202, CA","06037405202","=""06037405202""","11.72"
"06037405102, CA","06037405102","=""06037405102""","15.40"
"06037406901, CA","06037406901","=""06037406901""","10.95"
"06037552302, CA","06037552302","=""06037552302""","5.31"
"06037115404, CA","06037115404","=""06037115404""","13.14"
"06037119201, CA","06037119201","=""06037119201""","6.01"
"06037123700, CA","06037123700","=""06037123700""","6.18"
"06037199202, CA","06037199202","=""06037199202""","13.11"
"06037700902, CA","06037700902","=""06037700902""","3.48"
"06037104103, CA","06037104103","=""06037104103""","1.65"
"06037121802, CA","06037121802","=""06037121802""","10.86"
"06037231600, CA","06037231600","=""06037231600""","18.87"
"06037187200, CA","06037187200","=""06037187200""","14.15"
"06037535400, CA","06037535400","=""06037535400""","18.42"
"06037408623, CA","06037408623","=""06037408623""","4.74"
"06037480901, CA","06037480901","=""06037480901""","5.31"
"06037541400, CA","06037541400","=""06037541400""","11.85"
"06037127711, CA","06037127711","=""06037127711""","13.97"
"06037294200, CA","06037294200","=""06037294200""","11.34"
"06037402303, CA","06037402303","=""06037402303""","16.97"
"06037406701, CA","06037406701","=""06037406701""","6.33"
"06037311400, CA","06037311400","=""06037311400""","2.05"
"06037502401, CA","06037502401","=""06037502401""","12.29"
"06037920037, CA","06037920037","=""06037920037""","9.41"
"06037535607, CA","06037535607","=""06037535607""","14.59"
"06037575001, CA","06037575001","=""06037575001""","3.07"
"06037600704, CA","06037600704","=""06037600704""","8.72"
"06037481002, CA","06037481002","=""06037481002""","2.45"
"06037540600, CA","06037540600","=""06037540600""","18.23"
"06037301701, CA","06037301701","=""06037301701""","5.79"
"06037670001, CA","06037670001","=""06037670001""","10.86"
"06037407602, CA","06037407602","=""06037407602""","9.28"
"06037603600, CA","06037603600","=""06037603600""","8.36"
"06037123602, CA","06037123602","=""06037123602""","9.70"
"06037463601, CA","06037463601","=""06037463601""","2.43"
"06037183222, CA","06037183222","=""06037183222""","10.38"
"06037463602, CA","06037463602","=""06037463602""","10.01"
"06037404201, CA","06037404201","=""06037404201""","8.41"
"06037552400, CA","06037552400","=""06037552400""","11.95"
"06037621001, CA","06037621001","=""06037621001""","4.89"
"06037188300, CA","06037188300","=""06037188300""","8.71"
"06037320201, CA","06037320201","=""06037320201""","12.46"
"06037271902, CA","06037271902","=""06037271902""","6.86"
"06037407102, CA","06037407102","=""06037407102""","7.15"
"06037503106, CA","06037503106","=""06037503106""","6.61"
"06037217200, CA","06037217200","=""06037217200""","9.58"
"06037231500, CA","06037231500","=""06037231500""","12.96"
"06037310202, CA","06037310202","=""06037310202""","6.64"
"06037408140, CA","06037408140","=""06037408140""","13.29"
"06037433504, CA","06037433504","=""06037433504""","14.34"
"06037503901, CA","06037503901","=""06037503901""","8.22"
"06037542106, CA","06037542106","=""06037542106""","15.57"
"06037551600, CA","06037551600","=""06037551600""","N/A"
"06037601600, CA","06037601600","=""06037601600""","26.68"
"06037139401, CA","06037139401","=""06037139401""","11.35"
"06037211500, CA","06037211500","=""06037211500""","1.51"
"06037271500, CA","06037271500","=""06037271500""","2.97"
"06037204920, CA","06037204920","=""06037204920""","6.98"
"06037302506, CA","06037302506","=""06037302506""","8.96"
"06037555002, CA","06037555002","=""06037555002""","9.49"
"06037123103, CA","06037123103","=""06037123103""","11.69"
"06037571503, CA","06037571503","=""06037571503""","6.62"
"06037241001, CA","06037241001","=""06037241001""","12.38"
"06037271600, CA","06037271600","=""06037271600""","4.08"
"06037207900, CA","06037207900","=""06037207900""","4.71"
"06037199110, CA","06037199110","=""06037199110""","9.36"
"06037296500, CA","06037296500","=""06037296500""","18.53"
"06037554801, CA","06037554801","=""06037554801""","9.63"
"06037218300, CA","06037218300","=""06037218300""","7.24"
"06037530500, CA","06037530500","=""06037530500""","20.75"
"06037540203, CA","06037540203","=""06037540203""","12.95"
"06037402405, CA","06037402405","=""06037402405""","9.60"
"06037217100, CA","06037217100","=""06037217100""","6.82"
"06037269700, CA","06037269700","=""06037269700""","6.08"
"06037481300, CA","06037481300","=""06037481300""","6.41"
"06037534002, CA","06037534002","=""06037534002""","17.06"
"06037183702, CA","06037183702","=""06037183702""","9.58"
"06037310602, CA","06037310602","=""06037310602""","4.18"
"06037124300, CA","06037124300","=""06037124300""","5.04"
"06037231100, CA","06037231100","=""06037231100""","25.29"
"06037405002, CA","06037405002","=""06037405002""","17.30"
"06037481902, CA","06037481902","=""06037481902""","11.68"
"06037501001, CA","06037501001","=""06037501001""","15.86"
"06037201501, CA","06037201501","=""06037201501""","19.15"
"06037408138, CA","06037408138","=""06037408138""","10.44"
"06037502402, CA","06037502402","=""06037502402""","7.78"
"06037575401, CA","06037575401","=""06037575401""","22.76"
"06037481101, CA","06037481101","=""06037481101""","6.74"
"06037408134, CA","06037408134","=""06037408134""","2.87"
"06037531302, CA","06037531302","=""06037531302""","13.96"
"06037601001, CA","06037601001","=""06037601001""","15.76"
"06037234200, CA","06037234200","=""06037234200""","13.80"
"06037123304, CA","06037123304","=""06037123304""","10.29"
"06037181400, CA","06037181400","=""06037181400""","12.58"
"06037212702, CA","06037212702","=""06037212702""","8.76"
"06037294830, CA","06037294830","=""06037294830""","28.90"
"06037192300, CA","06037192300","=""06037192300""","6.18"
"06037461901, CA","06037461901","=""06037461901""","12.46"
"06037195202, CA","06037195202","=""06037195202""","3.47"
"06037603101, CA","06037603101","=""06037603101""","14.92"
"06037408501, CA","06037408501","=""06037408501""","6.70"
"06037550400, CA","06037550400","=""06037550400""","10.24"
"06037482301, CA","06037482301","=""06037482301""","10.17"
"06037201301, CA","06037201301","=""06037201301""","17.13"
"06037621004, CA","06037621004","=""06037621004""","6.45"
"06037206020, CA","06037206020","=""06037206020""","4.38"
"06037620901, CA","06037620901","=""06037620901""","3.62"
"06037207400, CA","06037207400","=""06037207400""","5.88"
"06037234300, CA","06037234300","=""06037234300""","11.12"
"06037620102, CA","06037620102","=""06037620102""","6.47"
"06037542602, CA","06037542602","=""06037542602""","18.86"
"06037555104, CA","06037555104","=""06037555104""","6.04"
"06037402705, CA","06037402705","=""06037402705""","8.81"
"06037122420, CA","06037122420","=""06037122420""","8.90"
"06037541605, CA","06037541605","=""06037541605""","14.04"
"06037433302, CA","06037433302","=""06037433302""","17.94"
"06037535200, CA","06037535200","=""06037535200""","12.59"
"06037481606, CA","06037481606","=""06037481606""","7.58"
"06037127102, CA","06037127102","=""06037127102""","4.38"
"06037670002, CA","06037670002","=""06037670002""","9.23"
"06037534301, CA","06037534301","=""06037534301""","17.69"
"06037570404, CA","06037570404","=""06037570404""","13.30"
"06037192002, CA","06037192002","=""06037192002""","4.90"
"06037530302, CA","06037530302","=""06037530302""","17.29"
"06037553702, CA","06037553702","=""06037553702""","11.28"
"06037533703, CA","06037533703","=""06037533703""","8.10"
"06037235202, CA","06037235202","=""06037235202""","12.00"
"06037650102, CA","06037650102","=""06037650102""","7.02"
"06037702803, CA","06037702803","=""06037702803""","9.49"
"06037186203, CA","06037186203","=""06037186203""","3.49"
"06037228800, CA","06037228800","=""06037228800""","16.99"
"06037115302, CA","06037115302","=""06037115302""","12.41"
"06037554403, CA","06037554403","=""06037554403""","7.59"
"06037293301, CA","06037293301","=""06037293301""","3.76"
"06037482401, CA","06037482401","=""06037482401""","9.76"
"06037269100, CA","06037269100","=""06037269100""","4.15"
"06037554404, CA","06037554404","=""06037554404""","15.19"
"06037535901, CA","06037535901","=""06037535901""","5.46"
"06037553300, CA","06037553300","=""06037553300""","9.91"
"06037461902, CA","06037461902","=""06037461902""","7.39"
"06037276604, CA","06037276604","=""06037276604""","4.70"
"06037294620, CA","06037294620","=""06037294620""","25.84"
"06037296600, CA","06037296600","=""06037296600""","16.68"
"06037294302, CA","06037294302","=""06037294302""","17.24"
"06037651102, CA","06037651102","=""06037651102""","3.28"
"06037602103, CA","06037602103","=""06037602103""","7.18"
"06037532002, CA","06037532002","=""06037532002""","14.00"
"06037541604, CA","06037541604","=""06037541604""","8.19"
"06037405301, CA","06037405301","=""06037405301""","8.73"
"06037108104, CA","06037108104","=""06037108104""","2.81"
"06037301206, CA","06037301206","=""06037301206""","11.23"
"06037224010, CA","06037224010","=""06037224010""","8.09"
"06037408137, CA","06037408137","=""06037408137""","5.85"
"06037294410, CA","06037294410","=""06037294410""","11.44"
"06037480804, CA","06037480804","=""06037480804""","6.90"
"06037121020, CA","06037121020","=""06037121020""","6.27"
"06037600202, CA","06037600202","=""06037600202""","15.72"
"06037311802, CA","06037311802","=""06037311802""","16.37"
"06037481800, CA","06037481800","=""06037481800""","8.57"
"06037294610, CA","06037294610","=""06037294610""","19.66"
"06037602106, CA","06037602106","=""06037602106""","12.34"
"06037222700, CA","06037222700","=""06037222700""","10.37"
"06037301702, CA","06037301702","=""06037301702""","5.91"
"06037291220, CA","06037291220","=""06037291220""","17.26"
"06037431300, CA","06037431300","=""06037431300""","3.76"
"06037600302, CA","06037600302","=""06037600302""","17.81"
"06037132101, CA","06037132101","=""06037132101""","3.36"
"06037267700, CA","06037267700","=""06037267700""","2.52"
"06037240300, CA","06037240300","=""06037240300""","23.35"
"06037242200, CA","06037242200","=""06037242200""","16.80"
"06037572301, CA","06037572301","=""06037572301""","17.86"
"06037124500, CA","06037124500","=""06037124500""","1.20"
"06037240500, CA","06037240500","=""06037240500""","24.64"
"06037541500, CA","06037541500","=""06037541500""","20.09"
"06037533603, CA","06037533603","=""06037533603""","14.41"
"06037404501, CA","06037404501","=""06037404501""","21.76"
"06037407302, CA","06037407302","=""06037407302""","10.29"
"06037480903, CA","06037480903","=""06037480903""","8.77"
"06037542900, CA","06037542900","=""06037542900""","19.00"
"06037271100, CA","06037271100","=""06037271100""","5.78"
"06037501503, CA","06037501503","=""06037501503""","7.83"
"06037408723, CA","06037408723","=""06037408723""","11.37"
"06037123510, CA","06037123510","=""06037123510""","13.37"
"06037574902, CA","06037574902","=""06037574902""","6.44"
"06037219902, CA","06037219902","=""06037219902""","8.04"
"06037552001, CA","06037552001","=""06037552001""","13.03"
"06037600902, CA","06037600902","=""06037600902""","17.73"
"06037432801, CA","06037432801","=""06037432801""","7.58"
"06037534102, CA","06037534102","=""06037534102""","19.21"
"06037554700, CA","06037554700","=""06037554700""","9.32"
"06037106648, CA","06037106648","=""06037106648""","7.93"
"06037535802, CA","06037535802","=""06037535802""","13.67"
"06037232600, CA","06037232600","=""06037232600""","18.44"
"06037117201, CA","06037117201","=""06037117201""","11.30"
"06037433503, CA","06037433503","=""06037433503""","14.66"
"06037603500, CA","06037603500","=""06037603500""","7.93"
"06037531301, CA","06037531301","=""06037531301""","11.28"
"06037201120, CA","06037201120","=""06037201120""","10.40"
"06037123420, CA","06037123420","=""06037123420""","3.86"
"06037187101, CA","06037187101","=""06037187101""","12.38"
"06037433304, CA","06037433304","=""06037433304""","18.02"
"06037555211, CA","06037555211","=""06037555211""","14.49"
"06037275500, CA","06037275500","=""06037275500""","7.08"
"06037551201, CA","06037551201","=""06037551201""","7.17"
"06037273502, CA","06037273502","=""06037273502""","5.11"
"06037572100, CA","06037572100","=""06037572100""","7.21"
"06037408139, CA","06037408139","=""06037408139""","11.62"
"06037123104, CA","06037123104","=""06037123104""","6.75"
"06037535603, CA","06037535603","=""06037535603""","23.75"
"06037534001, CA","06037534001","=""06037534001""","16.81"
"06037117101, CA","06037117101","=""06037117101""","8.26"
"06037226700, CA","06037226700","=""06037226700""","13.18"
"06037573300, CA","06037573300","=""06037573300""","11.06"
"06037533803, CA","06037533803","=""06037533803""","11.56"
"06037212800, CA","06037212800","=""06037212800""","11.13"
"06037407601, CA","06037407601","=""06037407601""","12.19"
"06037141102, CA","06037141102","=""06037141102""","4.27"
"06037197200, CA","06037197200","=""06037197200""","17.88"
"06037601700, CA","06037601700","=""06037601700""","21.41"
"06037550000, CA","06037550000","=""06037550000""","8.72"
"06037267902, CA","06037267902","=""06037267902""","1.43"
"06037216700, CA","06037216700","=""06037216700""","3.69"
"06037188201, CA","06037188201","=""06037188201""","7.45"
"06037570601, CA","06037570601","=""06037570601""","14.41"
"06037301205, CA","06037301205","=""06037301205""","8.03"
"06037570002, CA","06037570002","=""06037570002""","9.56"
"06037501802, CA","06037501802","=""06037501802""","8.68"
"06037191901, CA","06037191901","=""06037191901""","6.26"
"06037531901, CA","06037531901","=""06037531901""","11.79"
"06037542800, CA","06037542800","=""06037542800""","17.80"
"06037482201, CA","06037482201","=""06037482201""","4.74"
"06037217002, CA","06037217002","=""06037217002""","8.94"
"06037532700, CA","06037532700","=""06037532700""","26.34"
"06037535701, CA","06037535701","=""06037535701""","21.27"
"06037204810, CA","06037204810","=""06037204810""","7.71"
"06037530801, CA","06037530801","=""06037530801""","16.44"
"06037572900, CA","06037572900","=""06037572900""","15.40"
"06037265520, CA","06037265520","=""06037265520""","7.38"
"06037232500, CA","06037232500","=""06037232500""","16.45"
"06037532900, CA","06037532900","=""06037532900""","21.96"
"06037481605, CA","06037481605","=""06037481605""","9.39"
"06037270200, CA","06037270200","=""06037270200""","6.45"
"06037534203, CA","06037534203","=""06037534203""","13.79"
"06037554405, CA","06037554405","=""06037554405""","9.34"
"06037137103, CA","06037137103","=""06037137103""","8.77"
"06037533901, CA","06037533901","=""06037533901""","18.44"
"06037141101, CA","06037141101","=""06037141101""","7.66"
"06037650004, CA","06037650004","=""06037650004""","11.97"
"06037123205, CA","06037123205","=""06037123205""","8.14"
"06037188202, CA","06037188202","=""06037188202""","8.45"
"06037533902, CA","06037533902","=""06037533902""","25.68"
"06037134002, CA","06037134002","=""06037134002""","10.33"
"06037600100, CA","06037600100","=""06037600100""","26.65"
"06037500500, CA","06037500500","=""06037500500""","9.06"
"06037540202, CA","06037540202","=""06037540202""","17.05"
"06037214501, CA","06037214501","=""06037214501""","5.48"
"06037234501, CA","06037234501","=""06037234501""","8.93"
"06037275400, CA","06037275400","=""06037275400""","6.33"
"06037406411, CA","06037406411","=""06037406411""","3.31"
"06037502302, CA","06037502302","=""06037502302""","18.39"
"06037600502, CA","06037600502","=""06037600502""","9.29"
"06037572302, CA","06037572302","=""06037572302""","14.49"
"06037620522, CA","06037620522","=""06037620522""","3.73"
