"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with no internet access, between"
"06037186301, CA","06037186301","=""06037186301""","14.51"
"06037531503, CA","06037531503","=""06037531503""","27.68"
"06037241202, CA","06037241202","=""06037241202""","23.68"
"06037540901, CA","06037540901","=""06037540901""","28.06"
"06037910402, CA","06037910402","=""06037910402""","15.59"
"06037139200, CA","06037139200","=""06037139200""","4.34"
"06037551402, CA","06037551402","=""06037551402""","11.72"
"06037404702, CA","06037404702","=""06037404702""","14.43"
"06037503701, CA","06037503701","=""06037503701""","13.59"
"06037620303, CA","06037620303","=""06037620303""","7.53"
"06037432201, CA","06037432201","=""06037432201""","12.21"
"06037570100, CA","06037570100","=""06037570100""","9.55"
"06037408401, CA","06037408401","=""06037408401""","9.86"
"06037482101, CA","06037482101","=""06037482101""","14.49"
"06037540700, CA","06037540700","=""06037540700""","27.53"
"06037267800, CA","06037267800","=""06037267800""","3.18"
"06037113233, CA","06037113233","=""06037113233""","15.19"
"06037101110, CA","06037101110","=""06037101110""","16.32"
"06037271400, CA","06037271400","=""06037271400""","7.02"
"06037121600, CA","06037121600","=""06037121600""","14.60"
"06037404901, CA","06037404901","=""06037404901""","10.47"
"06037408704, CA","06037408704","=""06037408704""","27.26"
"06037106641, CA","06037106641","=""06037106641""","8.06"
"06037480703, CA","06037480703","=""06037480703""","3.64"
"06037463101, CA","06037463101","=""06037463101""","11.08"
"06037503202, CA","06037503202","=""06037503202""","28.54"
"06037544002, CA","06037544002","=""06037544002""","13.12"
"06037128602, CA","06037128602","=""06037128602""","9.51"
"06037603302, CA","06037603302","=""06037603302""","16.26"
"06037570003, CA","06037570003","=""06037570003""","12.07"
"06037480101, CA","06037480101","=""06037480101""","11.59"
"06037432901, CA","06037432901","=""06037432901""","14.93"
"06037702102, CA","06037702102","=""06037702102""","4.87"
"06037407101, CA","06037407101","=""06037407101""","21.08"
"06037108101, CA","06037108101","=""06037108101""","2.32"
"06037603001, CA","06037603001","=""06037603001""","22.26"
"06037407701, CA","06037407701","=""06037407701""","20.45"
"06037131200, CA","06037131200","=""06037131200""","11.06"
"06037407501, CA","06037407501","=""06037407501""","14.05"
"06037535101, CA","06037535101","=""06037535101""","21.28"
"06037480011, CA","06037480011","=""06037480011""","14.63"
"06037603200, CA","06037603200","=""06037603200""","5.76"
"06037603400, CA","06037603400","=""06037603400""","13.65"
"06037462800, CA","06037462800","=""06037462800""","5.43"
"06037236100, CA","06037236100","=""06037236100""","25.05"
"06037408135, CA","06037408135","=""06037408135""","7.39"
"06037104810, CA","06037104810","=""06037104810""","21.92"
"06037119400, CA","06037119400","=""06037119400""","17.41"
"06037433601, CA","06037433601","=""06037433601""","16.08"
"06037124600, CA","06037124600","=""06037124600""","5.80"
"06037550901, CA","06037550901","=""06037550901""","19.75"
"06037405101, CA","06037405101","=""06037405101""","19.22"
"06037131300, CA","06037131300","=""06037131300""","7.81"
"06037408141, CA","06037408141","=""06037408141""","11.15"
"06037267901, CA","06037267901","=""06037267901""","8.02"
"06037543502, CA","06037543502","=""06037543502""","15.40"
"06037106649, CA","06037106649","=""06037106649""","13.34"
"06037293302, CA","06037293302","=""06037293302""","14.19"
"06037106403, CA","06037106403","=""06037106403""","15.46"
"06037232400, CA","06037232400","=""06037232400""","18.79"
"06037131400, CA","06037131400","=""06037131400""","4.60"
"06037404301, CA","06037404301","=""06037404301""","17.17"
"06037214100, CA","06037214100","=""06037214100""","1.54"
"06037503105, CA","06037503105","=""06037503105""","21.12"
"06037237202, CA","06037237202","=""06037237202""","21.88"
"06037131100, CA","06037131100","=""06037131100""","4.42"
"06037434001, CA","06037434001","=""06037434001""","10.45"
"06037267100, CA","06037267100","=""06037267100""","6.70"
"06037310201, CA","06037310201","=""06037310201""","8.18"
"06037104108, CA","06037104108","=""06037104108""","24.13"
"06037207710, CA","06037207710","=""06037207710""","10.34"
"06037574800, CA","06037574800","=""06037574800""","10.49"
"06037301900, CA","06037301900","=""06037301900""","10.88"
"06037554406, CA","06037554406","=""06037554406""","19.20"
"06037482102, CA","06037482102","=""06037482102""","7.55"
"06037551502, CA","06037551502","=""06037551502""","6.04"
"06037181500, CA","06037181500","=""06037181500""","7.98"
"06037104201, CA","06037104201","=""06037104201""","13.07"
"06037407001, CA","06037407001","=""06037407001""","23.83"
"06037216900, CA","06037216900","=""06037216900""","14.61"
"06037541802, CA","06037541802","=""06037541802""","20.35"
"06037480803, CA","06037480803","=""06037480803""","8.79"
"06037219700, CA","06037219700","=""06037219700""","22.80"
"06037503301, CA","06037503301","=""06037503301""","12.05"
"06037503103, CA","06037503103","=""06037503103""","9.92"
"06037600912, CA","06037600912","=""06037600912""","8.15"
"06037555202, CA","06037555202","=""06037555202""","7.11"
"06037432902, CA","06037432902","=""06037432902""","13.94"
"06037553701, CA","06037553701","=""06037553701""","12.79"
"06037189600, CA","06037189600","=""06037189600""","2.70"
"06037402703, CA","06037402703","=""06037402703""","8.43"
"06037554001, CA","06037554001","=""06037554001""","10.09"
"06037535300, CA","06037535300","=""06037535300""","16.60"
"06037480704, CA","06037480704","=""06037480704""","5.99"
"06037402706, CA","06037402706","=""06037402706""","9.48"
"06037701402, CA","06037701402","=""06037701402""","14.25"
"06037407801, CA","06037407801","=""06037407801""","5.90"
"06037119001, CA","06037119001","=""06037119001""","6.34"
"06037131010, CA","06037131010","=""06037131010""","11.86"
"06037431900, CA","06037431900","=""06037431900""","13.99"
"06037120400, CA","06037120400","=""06037120400""","18.67"
"06037134101, CA","06037134101","=""06037134101""","11.03"
"06037572800, CA","06037572800","=""06037572800""","13.72"
"06037572700, CA","06037572700","=""06037572700""","14.69"
"06037240900, CA","06037240900","=""06037240900""","26.57"
"06037201602, CA","06037201602","=""06037201602""","18.24"
"06037501400, CA","06037501400","=""06037501400""","21.28"
"06037134901, CA","06037134901","=""06037134901""","5.62"
"06037432602, CA","06037432602","=""06037432602""","3.43"
"06037293201, CA","06037293201","=""06037293201""","14.00"
"06037310300, CA","06037310300","=""06037310300""","4.94"
"06037111100, CA","06037111100","=""06037111100""","9.03"
"06037127300, CA","06037127300","=""06037127300""","12.73"
"06037530700, CA","06037530700","=""06037530700""","23.95"
"06037125310, CA","06037125310","=""06037125310""","20.53"
"06037119900, CA","06037119900","=""06037119900""","10.23"
"06037408133, CA","06037408133","=""06037408133""","12.57"
"06037310702, CA","06037310702","=""06037310702""","24.67"
"06037700901, CA","06037700901","=""06037700901""","7.08"
"06037296300, CA","06037296300","=""06037296300""","4.14"
"06037920110, CA","06037920110","=""06037920110""","0.00"
"06037134103, CA","06037134103","=""06037134103""","5.57"
"06037502005, CA","06037502005","=""06037502005""","13.61"
"06037113321, CA","06037113321","=""06037113321""","5.27"
"06037920322, CA","06037920322","=""06037920322""","7.03"
"06037553902, CA","06037553902","=""06037553902""","14.29"
"06037554600, CA","06037554600","=""06037554600""","19.42"
"06037480302, CA","06037480302","=""06037480302""","8.90"
"06037462600, CA","06037462600","=""06037462600""","5.68"
"06037570902, CA","06037570902","=""06037570902""","5.66"
"06037920039, CA","06037920039","=""06037920039""","5.80"
"06037481001, CA","06037481001","=""06037481001""","14.89"
"06037432401, CA","06037432401","=""06037432401""","14.98"
"06037139502, CA","06037139502","=""06037139502""","7.71"
"06037135111, CA","06037135111","=""06037135111""","1.68"
"06037293202, CA","06037293202","=""06037293202""","14.76"
"06037462100, CA","06037462100","=""06037462100""","18.21"
"06037534900, CA","06037534900","=""06037534900""","15.24"
"06037405701, CA","06037405701","=""06037405701""","5.92"
"06037431501, CA","06037431501","=""06037431501""","11.76"
"06037117102, CA","06037117102","=""06037117102""","16.58"
"06037134904, CA","06037134904","=""06037134904""","5.33"
"06037404802, CA","06037404802","=""06037404802""","17.28"
"06037572002, CA","06037572002","=""06037572002""","17.59"
"06037302102, CA","06037302102","=""06037302102""","13.73"
"06037277200, CA","06037277200","=""06037277200""","22.00"
"06037573401, CA","06037573401","=""06037573401""","7.13"
"06037570602, CA","06037570602","=""06037570602""","10.14"
"06037296402, CA","06037296402","=""06037296402""","4.57"
"06037122122, CA","06037122122","=""06037122122""","25.20"
"06037620301, CA","06037620301","=""06037620301""","3.67"
"06037226001, CA","06037226001","=""06037226001""","19.21"
"06037189202, CA","06037189202","=""06037189202""","4.08"
"06037195400, CA","06037195400","=""06037195400""","5.16"
"06037310601, CA","06037310601","=""06037310601""","9.86"
"06037543703, CA","06037543703","=""06037543703""","6.28"
"06037407502, CA","06037407502","=""06037407502""","16.65"
"06037113234, CA","06037113234","=""06037113234""","7.36"
"06037275603, CA","06037275603","=""06037275603""","11.87"
"06037125600, CA","06037125600","=""06037125600""","13.76"
"06037115104, CA","06037115104","=""06037115104""","6.11"
"06037238200, CA","06037238200","=""06037238200""","28.04"
"06037134304, CA","06037134304","=""06037134304""","10.26"
"06037106114, CA","06037106114","=""06037106114""","14.99"
"06037532102, CA","06037532102","=""06037532102""","13.72"
"06037123010, CA","06037123010","=""06037123010""","26.40"
"06037461400, CA","06037461400","=""06037461400""","13.05"
"06037532500, CA","06037532500","=""06037532500""","22.77"
"06037910714, CA","06037910714","=""06037910714""","11.99"
"06037402501, CA","06037402501","=""06037402501""","21.22"
"06037301602, CA","06037301602","=""06037301602""","13.37"
"06037201110, CA","06037201110","=""06037201110""","16.48"
"06037604100, CA","06037604100","=""06037604100""","11.79"
"06037620701, CA","06037620701","=""06037620701""","4.86"
"06037242700, CA","06037242700","=""06037242700""","21.86"
"06037702202, CA","06037702202","=""06037702202""","5.25"
"06037214000, CA","06037214000","=""06037214000""","15.25"
"06037530101, CA","06037530101","=""06037530101""","33.97"
"06037204700, CA","06037204700","=""06037204700""","13.58"
"06037535902, CA","06037535902","=""06037535902""","13.69"
"06037920044, CA","06037920044","=""06037920044""","3.85"
"06037273402, CA","06037273402","=""06037273402""","4.57"
"06037408136, CA","06037408136","=""06037408136""","3.29"
"06037461501, CA","06037461501","=""06037461501""","18.17"
"06037543201, CA","06037543201","=""06037543201""","9.58"
"06037133000, CA","06037133000","=""06037133000""","10.35"
"06037113212, CA","06037113212","=""06037113212""","4.52"
"06037109603, CA","06037109603","=""06037109603""","15.37"
"06037920038, CA","06037920038","=""06037920038""","13.03"
"06037406902, CA","06037406902","=""06037406902""","15.78"
"06037481201, CA","06037481201","=""06037481201""","13.46"
"06037228100, CA","06037228100","=""06037228100""","24.31"
"06037310703, CA","06037310703","=""06037310703""","22.00"
"06037107020, CA","06037107020","=""06037107020""","8.62"
"06037531000, CA","06037531000","=""06037531000""","34.97"
"06037651401, CA","06037651401","=""06037651401""","8.78"
"06037620904, CA","06037620904","=""06037620904""","0.86"
"06037271701, CA","06037271701","=""06037271701""","12.55"
"06037237300, CA","06037237300","=""06037237300""","25.14"
"06037134720, CA","06037134720","=""06037134720""","5.91"
"06037201302, CA","06037201302","=""06037201302""","5.15"
"06037311200, CA","06037311200","=""06037311200""","8.47"
"06037542700, CA","06037542700","=""06037542700""","11.90"
"06037542502, CA","06037542502","=""06037542502""","18.73"
"06037407301, CA","06037407301","=""06037407301""","5.31"
"06037294110, CA","06037294110","=""06037294110""","18.31"
"06037650501, CA","06037650501","=""06037650501""","3.64"
"06037555103, CA","06037555103","=""06037555103""","6.10"
"06037482303, CA","06037482303","=""06037482303""","14.18"
"06037206032, CA","06037206032","=""06037206032""","34.67"
"06037238100, CA","06037238100","=""06037238100""","17.33"
"06037601402, CA","06037601402","=""06037601402""","11.81"
"06037296401, CA","06037296401","=""06037296401""","6.07"
"06037276100, CA","06037276100","=""06037276100""","4.62"
"06037220100, CA","06037220100","=""06037220100""","31.85"
"06037434003, CA","06037434003","=""06037434003""","20.83"
"06037406402, CA","06037406402","=""06037406402""","12.61"
"06037124400, CA","06037124400","=""06037124400""","8.26"
"06037237900, CA","06037237900","=""06037237900""","19.67"
"06037239330, CA","06037239330","=""06037239330""","23.43"
"06037920018, CA","06037920018","=""06037920018""","6.47"
"06037128500, CA","06037128500","=""06037128500""","10.99"
"06037270300, CA","06037270300","=""06037270300""","7.19"
"06037124201, CA","06037124201","=""06037124201""","16.21"
"06037542000, CA","06037542000","=""06037542000""","17.88"
"06037128802, CA","06037128802","=""06037128802""","4.90"
"06037119202, CA","06037119202","=""06037119202""","12.59"
"06037600400, CA","06037600400","=""06037600400""","24.77"
"06037535702, CA","06037535702","=""06037535702""","16.96"
"06037132001, CA","06037132001","=""06037132001""","3.53"
"06037208000, CA","06037208000","=""06037208000""","18.79"
"06037220000, CA","06037220000","=""06037220000""","28.86"
"06037237800, CA","06037237800","=""06037237800""","17.88"
"06037199700, CA","06037199700","=""06037199700""","20.34"
"06037603301, CA","06037603301","=""06037603301""","11.21"
"06037134520, CA","06037134520","=""06037134520""","11.44"
"06037183101, CA","06037183101","=""06037183101""","10.42"
"06037600801, CA","06037600801","=""06037600801""","14.29"
"06037554201, CA","06037554201","=""06037554201""","12.80"
"06037550902, CA","06037550902","=""06037550902""","7.38"
"06037185204, CA","06037185204","=""06037185204""","8.70"
"06037216200, CA","06037216200","=""06037216200""","2.88"
"06037231220, CA","06037231220","=""06037231220""","31.23"
"06037186401, CA","06037186401","=""06037186401""","16.28"
"06037199120, CA","06037199120","=""06037199120""","15.61"
"06037433602, CA","06037433602","=""06037433602""","27.84"
"06037575002, CA","06037575002","=""06037575002""","4.12"
"06037143200, CA","06037143200","=""06037143200""","3.14"
"06037405202, CA","06037405202","=""06037405202""","19.22"
"06037405102, CA","06037405102","=""06037405102""","20.53"
"06037406901, CA","06037406901","=""06037406901""","20.07"
"06037552302, CA","06037552302","=""06037552302""","12.39"
"06037115404, CA","06037115404","=""06037115404""","10.93"
"06037119201, CA","06037119201","=""06037119201""","15.08"
"06037123700, CA","06037123700","=""06037123700""","14.44"
"06037199202, CA","06037199202","=""06037199202""","11.16"
"06037700902, CA","06037700902","=""06037700902""","6.45"
"06037104103, CA","06037104103","=""06037104103""","15.55"
"06037121802, CA","06037121802","=""06037121802""","8.46"
"06037231600, CA","06037231600","=""06037231600""","26.93"
"06037187200, CA","06037187200","=""06037187200""","12.65"
"06037535400, CA","06037535400","=""06037535400""","28.92"
"06037408623, CA","06037408623","=""06037408623""","11.03"
"06037480901, CA","06037480901","=""06037480901""","15.16"
"06037541400, CA","06037541400","=""06037541400""","18.69"
"06037127711, CA","06037127711","=""06037127711""","9.43"
"06037294200, CA","06037294200","=""06037294200""","12.66"
"06037402303, CA","06037402303","=""06037402303""","16.70"
"06037406701, CA","06037406701","=""06037406701""","7.71"
"06037311400, CA","06037311400","=""06037311400""","11.50"
"06037502401, CA","06037502401","=""06037502401""","17.93"
"06037920037, CA","06037920037","=""06037920037""","9.51"
"06037535607, CA","06037535607","=""06037535607""","3.67"
"06037575001, CA","06037575001","=""06037575001""","5.96"
"06037600704, CA","06037600704","=""06037600704""","16.46"
"06037481002, CA","06037481002","=""06037481002""","12.07"
"06037540600, CA","06037540600","=""06037540600""","23.72"
"06037301701, CA","06037301701","=""06037301701""","19.47"
"06037670001, CA","06037670001","=""06037670001""","15.13"
"06037407602, CA","06037407602","=""06037407602""","11.10"
"06037603600, CA","06037603600","=""06037603600""","8.94"
"06037123602, CA","06037123602","=""06037123602""","9.85"
"06037463601, CA","06037463601","=""06037463601""","9.46"
"06037183222, CA","06037183222","=""06037183222""","11.13"
"06037463602, CA","06037463602","=""06037463602""","7.07"
"06037404201, CA","06037404201","=""06037404201""","16.92"
"06037552400, CA","06037552400","=""06037552400""","11.95"
"06037621001, CA","06037621001","=""06037621001""","7.33"
"06037188300, CA","06037188300","=""06037188300""","6.69"
"06037320201, CA","06037320201","=""06037320201""","24.77"
"06037271902, CA","06037271902","=""06037271902""","4.38"
"06037407102, CA","06037407102","=""06037407102""","9.19"
"06037503106, CA","06037503106","=""06037503106""","17.54"
"06037217200, CA","06037217200","=""06037217200""","10.63"
"06037231500, CA","06037231500","=""06037231500""","14.83"
"06037310202, CA","06037310202","=""06037310202""","9.42"
"06037408140, CA","06037408140","=""06037408140""","17.24"
"06037433504, CA","06037433504","=""06037433504""","26.05"
"06037503901, CA","06037503901","=""06037503901""","6.17"
"06037542106, CA","06037542106","=""06037542106""","24.20"
"06037551600, CA","06037551600","=""06037551600""","N/A"
"06037601600, CA","06037601600","=""06037601600""","10.97"
"06037139401, CA","06037139401","=""06037139401""","15.92"
"06037211500, CA","06037211500","=""06037211500""","9.87"
"06037271500, CA","06037271500","=""06037271500""","10.75"
"06037204920, CA","06037204920","=""06037204920""","30.61"
"06037302506, CA","06037302506","=""06037302506""","14.70"
"06037555002, CA","06037555002","=""06037555002""","8.42"
"06037123103, CA","06037123103","=""06037123103""","17.90"
"06037571503, CA","06037571503","=""06037571503""","10.41"
"06037241001, CA","06037241001","=""06037241001""","29.32"
"06037271600, CA","06037271600","=""06037271600""","4.60"
"06037207900, CA","06037207900","=""06037207900""","4.23"
"06037199110, CA","06037199110","=""06037199110""","24.97"
"06037296500, CA","06037296500","=""06037296500""","24.89"
"06037554801, CA","06037554801","=""06037554801""","19.81"
"06037218300, CA","06037218300","=""06037218300""","11.05"
"06037530500, CA","06037530500","=""06037530500""","32.83"
"06037540203, CA","06037540203","=""06037540203""","17.55"
"06037402405, CA","06037402405","=""06037402405""","19.50"
"06037217100, CA","06037217100","=""06037217100""","13.11"
"06037269700, CA","06037269700","=""06037269700""","9.10"
"06037481300, CA","06037481300","=""06037481300""","10.33"
"06037534002, CA","06037534002","=""06037534002""","15.67"
"06037183702, CA","06037183702","=""06037183702""","5.79"
"06037310602, CA","06037310602","=""06037310602""","4.56"
"06037124300, CA","06037124300","=""06037124300""","31.39"
"06037231100, CA","06037231100","=""06037231100""","26.88"
"06037405002, CA","06037405002","=""06037405002""","16.13"
"06037481902, CA","06037481902","=""06037481902""","11.33"
"06037501001, CA","06037501001","=""06037501001""","5.98"
"06037201501, CA","06037201501","=""06037201501""","11.69"
"06037408138, CA","06037408138","=""06037408138""","15.24"
"06037502402, CA","06037502402","=""06037502402""","19.60"
"06037575401, CA","06037575401","=""06037575401""","22.10"
"06037481101, CA","06037481101","=""06037481101""","8.11"
"06037408134, CA","06037408134","=""06037408134""","7.69"
"06037531302, CA","06037531302","=""06037531302""","23.62"
"06037601001, CA","06037601001","=""06037601001""","31.06"
"06037234200, CA","06037234200","=""06037234200""","16.88"
"06037123304, CA","06037123304","=""06037123304""","22.10"
"06037181400, CA","06037181400","=""06037181400""","9.24"
"06037212702, CA","06037212702","=""06037212702""","7.53"
"06037294830, CA","06037294830","=""06037294830""","15.03"
"06037192300, CA","06037192300","=""06037192300""","10.18"
"06037461901, CA","06037461901","=""06037461901""","21.14"
"06037195202, CA","06037195202","=""06037195202""","0.71"
"06037603101, CA","06037603101","=""06037603101""","11.07"
"06037408501, CA","06037408501","=""06037408501""","17.25"
"06037550400, CA","06037550400","=""06037550400""","5.39"
"06037482301, CA","06037482301","=""06037482301""","14.39"
"06037201301, CA","06037201301","=""06037201301""","16.50"
"06037621004, CA","06037621004","=""06037621004""","5.73"
"06037206020, CA","06037206020","=""06037206020""","2.69"
"06037620901, CA","06037620901","=""06037620901""","4.75"
"06037207400, CA","06037207400","=""06037207400""","12.03"
"06037234300, CA","06037234300","=""06037234300""","16.74"
"06037620102, CA","06037620102","=""06037620102""","6.68"
"06037542602, CA","06037542602","=""06037542602""","15.90"
"06037555104, CA","06037555104","=""06037555104""","10.30"
"06037402705, CA","06037402705","=""06037402705""","8.93"
"06037122420, CA","06037122420","=""06037122420""","25.27"
"06037541605, CA","06037541605","=""06037541605""","23.89"
"06037433302, CA","06037433302","=""06037433302""","29.90"
"06037535200, CA","06037535200","=""06037535200""","30.48"
"06037481606, CA","06037481606","=""06037481606""","11.59"
"06037127102, CA","06037127102","=""06037127102""","11.40"
"06037670002, CA","06037670002","=""06037670002""","10.18"
"06037534301, CA","06037534301","=""06037534301""","18.84"
"06037570404, CA","06037570404","=""06037570404""","8.05"
"06037192002, CA","06037192002","=""06037192002""","7.32"
"06037530302, CA","06037530302","=""06037530302""","23.30"
"06037553702, CA","06037553702","=""06037553702""","15.60"
"06037533703, CA","06037533703","=""06037533703""","27.87"
"06037235202, CA","06037235202","=""06037235202""","31.74"
"06037650102, CA","06037650102","=""06037650102""","8.34"
"06037702803, CA","06037702803","=""06037702803""","16.45"
"06037186203, CA","06037186203","=""06037186203""","2.69"
"06037228800, CA","06037228800","=""06037228800""","29.69"
"06037115302, CA","06037115302","=""06037115302""","22.63"
"06037554403, CA","06037554403","=""06037554403""","25.10"
"06037293301, CA","06037293301","=""06037293301""","2.25"
"06037482401, CA","06037482401","=""06037482401""","16.65"
"06037269100, CA","06037269100","=""06037269100""","11.06"
"06037554404, CA","06037554404","=""06037554404""","14.26"
"06037535901, CA","06037535901","=""06037535901""","9.81"
"06037553300, CA","06037553300","=""06037553300""","25.08"
"06037461902, CA","06037461902","=""06037461902""","20.82"
"06037276604, CA","06037276604","=""06037276604""","4.86"
"06037294620, CA","06037294620","=""06037294620""","12.10"
"06037296600, CA","06037296600","=""06037296600""","25.31"
"06037294302, CA","06037294302","=""06037294302""","18.49"
"06037651102, CA","06037651102","=""06037651102""","8.57"
"06037602103, CA","06037602103","=""06037602103""","19.86"
"06037532002, CA","06037532002","=""06037532002""","28.74"
"06037541604, CA","06037541604","=""06037541604""","17.69"
"06037405301, CA","06037405301","=""06037405301""","2.94"
"06037108104, CA","06037108104","=""06037108104""","7.19"
"06037301206, CA","06037301206","=""06037301206""","8.06"
"06037224010, CA","06037224010","=""06037224010""","36.79"
"06037408137, CA","06037408137","=""06037408137""","8.40"
"06037294410, CA","06037294410","=""06037294410""","16.46"
"06037480804, CA","06037480804","=""06037480804""","8.84"
"06037121020, CA","06037121020","=""06037121020""","22.76"
"06037600202, CA","06037600202","=""06037600202""","22.85"
"06037311802, CA","06037311802","=""06037311802""","5.77"
"06037481800, CA","06037481800","=""06037481800""","9.24"
"06037294610, CA","06037294610","=""06037294610""","16.29"
"06037602106, CA","06037602106","=""06037602106""","15.54"
"06037222700, CA","06037222700","=""06037222700""","6.67"
"06037301702, CA","06037301702","=""06037301702""","17.88"
"06037291220, CA","06037291220","=""06037291220""","13.79"
"06037431300, CA","06037431300","=""06037431300""","6.12"
"06037600302, CA","06037600302","=""06037600302""","24.51"
"06037132101, CA","06037132101","=""06037132101""","12.03"
"06037267700, CA","06037267700","=""06037267700""","7.09"
"06037240300, CA","06037240300","=""06037240300""","19.01"
"06037242200, CA","06037242200","=""06037242200""","35.82"
"06037572301, CA","06037572301","=""06037572301""","10.90"
"06037124500, CA","06037124500","=""06037124500""","4.79"
"06037240500, CA","06037240500","=""06037240500""","22.05"
"06037541500, CA","06037541500","=""06037541500""","21.13"
"06037533603, CA","06037533603","=""06037533603""","23.28"
"06037404501, CA","06037404501","=""06037404501""","24.44"
"06037407302, CA","06037407302","=""06037407302""","10.94"
"06037480903, CA","06037480903","=""06037480903""","12.26"
"06037542900, CA","06037542900","=""06037542900""","19.00"
"06037271100, CA","06037271100","=""06037271100""","10.39"
"06037501503, CA","06037501503","=""06037501503""","11.70"
"06037408723, CA","06037408723","=""06037408723""","5.87"
"06037123510, CA","06037123510","=""06037123510""","19.34"
"06037574902, CA","06037574902","=""06037574902""","8.00"
"06037219902, CA","06037219902","=""06037219902""","29.94"
"06037552001, CA","06037552001","=""06037552001""","9.98"
"06037600902, CA","06037600902","=""06037600902""","17.14"
"06037432801, CA","06037432801","=""06037432801""","37.78"
"06037534102, CA","06037534102","=""06037534102""","26.52"
"06037554700, CA","06037554700","=""06037554700""","14.34"
"06037106648, CA","06037106648","=""06037106648""","21.86"
"06037535802, CA","06037535802","=""06037535802""","9.70"
"06037232600, CA","06037232600","=""06037232600""","30.91"
"06037117201, CA","06037117201","=""06037117201""","10.49"
"06037433503, CA","06037433503","=""06037433503""","21.85"
"06037603500, CA","06037603500","=""06037603500""","12.23"
"06037531301, CA","06037531301","=""06037531301""","31.49"
"06037201120, CA","06037201120","=""06037201120""","9.32"
"06037123420, CA","06037123420","=""06037123420""","17.93"
"06037187101, CA","06037187101","=""06037187101""","6.84"
"06037433304, CA","06037433304","=""06037433304""","22.28"
"06037555211, CA","06037555211","=""06037555211""","23.38"
"06037275500, CA","06037275500","=""06037275500""","26.32"
"06037551201, CA","06037551201","=""06037551201""","8.33"
"06037273502, CA","06037273502","=""06037273502""","5.72"
"06037572100, CA","06037572100","=""06037572100""","4.39"
"06037408139, CA","06037408139","=""06037408139""","13.53"
"06037123104, CA","06037123104","=""06037123104""","19.54"
"06037535603, CA","06037535603","=""06037535603""","11.09"
"06037534001, CA","06037534001","=""06037534001""","25.49"
"06037117101, CA","06037117101","=""06037117101""","9.62"
"06037226700, CA","06037226700","=""06037226700""","33.22"
"06037573300, CA","06037573300","=""06037573300""","25.78"
"06037533803, CA","06037533803","=""06037533803""","19.00"
"06037212800, CA","06037212800","=""06037212800""","17.63"
"06037407601, CA","06037407601","=""06037407601""","13.35"
"06037141102, CA","06037141102","=""06037141102""","1.33"
"06037197200, CA","06037197200","=""06037197200""","15.62"
"06037601700, CA","06037601700","=""06037601700""","13.05"
"06037550000, CA","06037550000","=""06037550000""","14.09"
"06037267902, CA","06037267902","=""06037267902""","6.87"
"06037216700, CA","06037216700","=""06037216700""","5.96"
"06037188201, CA","06037188201","=""06037188201""","4.97"
"06037570601, CA","06037570601","=""06037570601""","15.25"
"06037301205, CA","06037301205","=""06037301205""","7.76"
"06037570002, CA","06037570002","=""06037570002""","8.96"
"06037501802, CA","06037501802","=""06037501802""","16.94"
"06037191901, CA","06037191901","=""06037191901""","4.94"
"06037531901, CA","06037531901","=""06037531901""","28.16"
"06037542800, CA","06037542800","=""06037542800""","21.80"
"06037482201, CA","06037482201","=""06037482201""","17.23"
"06037217002, CA","06037217002","=""06037217002""","7.26"
"06037532700, CA","06037532700","=""06037532700""","4.78"
"06037535701, CA","06037535701","=""06037535701""","12.18"
"06037204810, CA","06037204810","=""06037204810""","20.64"
"06037530801, CA","06037530801","=""06037530801""","22.31"
"06037572900, CA","06037572900","=""06037572900""","20.49"
"06037265520, CA","06037265520","=""06037265520""","4.24"
"06037232500, CA","06037232500","=""06037232500""","22.30"
"06037532900, CA","06037532900","=""06037532900""","29.82"
"06037481605, CA","06037481605","=""06037481605""","17.57"
"06037270200, CA","06037270200","=""06037270200""","11.17"
"06037534203, CA","06037534203","=""06037534203""","32.10"
"06037554405, CA","06037554405","=""06037554405""","8.89"
"06037137103, CA","06037137103","=""06037137103""","4.34"
"06037533901, CA","06037533901","=""06037533901""","18.86"
"06037141101, CA","06037141101","=""06037141101""","3.19"
"06037650004, CA","06037650004","=""06037650004""","5.49"
"06037123205, CA","06037123205","=""06037123205""","19.63"
"06037188202, CA","06037188202","=""06037188202""","3.25"
"06037533902, CA","06037533902","=""06037533902""","11.80"
"06037134002, CA","06037134002","=""06037134002""","14.76"
"06037600100, CA","06037600100","=""06037600100""","18.53"
"06037500500, CA","06037500500","=""06037500500""","29.19"
"06037540202, CA","06037540202","=""06037540202""","24.30"
"06037214501, CA","06037214501","=""06037214501""","6.70"
"06037234501, CA","06037234501","=""06037234501""","19.05"
"06037275400, CA","06037275400","=""06037275400""","3.21"
"06037406411, CA","06037406411","=""06037406411""","18.91"
"06037502302, CA","06037502302","=""06037502302""","14.09"
"06037600502, CA","06037600502","=""06037600502""","11.81"
"06037572302, CA","06037572302","=""06037572302""","9.34"
"06037620522, CA","06037620522","=""06037620522""","7.41"
"06037240200, CA","06037240200","=""06037240200""","17.85"
"06037501504, CA","06037501504","=""06037501504""","29.95"
"06037603102, CA","06037603102","=""06037603102""","23.60"
"06037234700, CA","06037234700","=""06037234700""","32.96"
"06037273800, CA","06037273800","=""06037273800""","3.94"
"06037216800, CA","06037216800","=""06037216800""","7.16"
