"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with no internet access, between"
"06037670201, CA","06037670201","=""06037670201""","5.55"
"06037400604, CA","06037400604","=""06037400604""","10.54"
"06037800332, CA","06037800332","=""06037800332""","2.52"
"06037113237, CA","06037113237","=""06037113237""","4.60"
"06037703001, CA","06037703001","=""06037703001""","3.96"
"06037139703, CA","06037139703","=""06037139703""","2.18"
"06037206031, CA","06037206031","=""06037206031""","3.89"
"06037430501, CA","06037430501","=""06037430501""","3.54"
"06037403407, CA","06037403407","=""06037403407""","2.71"
"06037408503, CA","06037408503","=""06037408503""","5.27"
"06037670416, CA","06037670416","=""06037670416""","5.90"
"06037300100, CA","06037300100","=""06037300100""","1.80"
"06037670326, CA","06037670326","=""06037670326""","2.24"
"06037135203, CA","06037135203","=""06037135203""","5.03"
"06037104124, CA","06037104124","=""06037104124""","17.21"
"06037910207, CA","06037910207","=""06037910207""","4.90"
"06037138000, CA","06037138000","=""06037138000""","2.89"
"06037543306, CA","06037543306","=""06037543306""","7.68"
"06037403303, CA","06037403303","=""06037403303""","5.69"
"06037300902, CA","06037300902","=""06037300902""","6.61"
"06037400402, CA","06037400402","=""06037400402""","9.73"
"06037106643, CA","06037106643","=""06037106643""","3.25"
"06037189701, CA","06037189701","=""06037189701""","2.35"
"06037920332, CA","06037920332","=""06037920332""","12.20"
"06037401311, CA","06037401311","=""06037401311""","18.41"
"06037460600, CA","06037460600","=""06037460600""","4.31"
"06037297500, CA","06037297500","=""06037297500""","12.72"
"06037910302, CA","06037910302","=""06037910302""","5.17"
"06037402404, CA","06037402404","=""06037402404""","N/A"
"06037113231, CA","06037113231","=""06037113231""","2.21"
"06037181000, CA","06037181000","=""06037181000""","7.60"
"06037113303, CA","06037113303","=""06037113303""","7.53"
"06037430721, CA","06037430721","=""06037430721""","11.80"
"06037577504, CA","06037577504","=""06037577504""","6.75"
"06037900508, CA","06037900508","=""06037900508""","11.82"
"06037980005, CA","06037980005","=""06037980005""","N/A"
"06037236000, CA","06037236000","=""06037236000""","7.31"
"06037900507, CA","06037900507","=""06037900507""","15.62"
"06037910301, CA","06037910301","=""06037910301""","6.02"
"06037292000, CA","06037292000","=""06037292000""","11.13"
"06037403320, CA","06037403320","=""06037403320""","3.37"
"06037115101, CA","06037115101","=""06037115101""","3.86"
"06037141600, CA","06037141600","=""06037141600""","2.55"
"06037106111, CA","06037106111","=""06037106111""","7.40"
"06037137504, CA","06037137504","=""06037137504""","2.00"
"06037502902, CA","06037502902","=""06037502902""","19.18"
"06037403317, CA","06037403317","=""06037403317""","4.48"
"06037980010, CA","06037980010","=""06037980010""","28.57"
"06037554512, CA","06037554512","=""06037554512""","3.68"
"06037502802, CA","06037502802","=""06037502802""","18.42"
"06037502500, CA","06037502500","=""06037502500""","11.91"
"06037920042, CA","06037920042","=""06037920042""","7.23"
"06037599000, CA","06037599000","=""06037599000""","5.64"
"06037401500, CA","06037401500","=""06037401500""","13.01"
"06037702901, CA","06037702901","=""06037702901""","0.43"
"06037403403, CA","06037403403","=""06037403403""","2.33"
"06037920338, CA","06037920338","=""06037920338""","1.78"
"06037430600, CA","06037430600","=""06037430600""","5.58"
"06037134424, CA","06037134424","=""06037134424""","2.17"
"06037400206, CA","06037400206","=""06037400206""","2.51"
